광역시도,시군구,날짜,플랫폼,캠페인명,유입채널,기기,OS,브라우저,세션수,사용자수,페이지뷰,평균체류(초),이탈률(%),전환수,광고비(원)
인천,부평구,2023-01-13,Facebook,캠페인_B,SNS광고,모바일,Android,Naver앱,2359,1594,10978,259,60.6,89,553685
제주,서귀포시,2023-01-13,TikTok,캠페인_E,직접접속,모바일,Android,Edge,3278,2734,12700,328,87.0,21,657076
경기,안산시,2023-01-14,Naver,캠페인_I,SNS광고,PC,Android,Safari,107,66,207,11,73.6,1,316261
제주,서귀포시,2023-01-14,TikTok,캠페인_Q,SNS광고,모바일,Windows,Samsung Internet,151,128,570,391,64.3,9,12423
서울,노원구,2023-01-15,KakaoTalk,캠페인_N,직접접속,모바일,Android,Chrome,4817,4277,20708,286,24.9,491,6336
대구,중구,2023-01-15,Naver,캠페인_C,자연검색,모바일,Android,Samsung Internet,4429,3819,10896,46,25.9,303,80474
광주,북구,2023-01-15,KakaoTalk,캠페인_H,검색광고,PC,Android,Safari,4876,3702,26056,335,58.8,248,1253468
경기,남양주시,2023-01-15,Instagram,캠페인_P,SNS광고,PC,iOS,Chrome,3124,2826,13738,371,71.5,197,1260630
대구,북구,2023-01-16,KakaoTalk,캠페인_D,자연검색,모바일,Windows,Chrome,2361,1718,12843,50,82.3,39,1105599
서울,노원구,2023-01-16,KakaoTalk,캠페인_O,직접접속,태블릿,Android,Chrome,3849,2341,15694,263,30.6,39,1301060
인천,연수구,2023-01-16,YouTube,캠페인_B,자연검색,모바일,iOS,Samsung Internet,865,536,3368,345,57.8,63,219735
광주,서구,2023-01-17,KakaoTalk,캠페인_F,SNS광고,모바일,iOS,Chrome,186,143,658,256,15.1,10,1378913
대전,유성구,2023-01-17,TikTok,캠페인_K,SNS광고,PC,Windows,Safari,1586,1395,4476,201,45.3,114,1563984
대구,북구,2023-01-17,YouTube,캠페인_M,직접접속,모바일,Android,Chrome,22,19,54,128,39.7,0,163437
인천,연수구,2023-01-17,YouTube,캠페인_J,자연검색,PC,Android,Chrome,2754,1656,6210,216,57.1,141,764850
경기,부천시,2023-01-18,Instagram,캠페인_O,검색광고,태블릿,Android,Edge,682,459,2599,203,51.5,9,999839
경기,남양주시,2023-01-18,Naver,캠페인_P,SNS광고,모바일,Android,Safari,813,724,2939,370,59.7,60,457262
대전,중구,2023-01-18,KakaoTalk,캠페인_P,SNS광고,모바일,Android,Safari,4609,4254,14069,214,15.2,158,554341
제주,서귀포시,2023-01-18,KakaoTalk,캠페인_E,자연검색,모바일,Android,Safari,1105,873,5186,172,73.4,66,1083210
대구,달서구,2023-01-19,TikTok,캠페인_G,SNS광고,PC,iOS,Chrome,3928,2607,20925,173,61.3,164,231312
서울,송파구,2023-01-19,TikTok,캠페인_I,SNS광고,PC,Windows,Samsung Internet,2874,2590,6974,294,37.2,199,1875468
인천,연수구,2023-01-19,KakaoTalk,캠페인_F,검색광고,태블릿,iOS,Chrome,150,119,647,367,61.4,12,1496064
경기,남양주시,2023-01-19,YouTube,캠페인_S,자연검색,모바일,Windows,Samsung Internet,2522,2137,12627,131,81.2,27,129897
경기,성남시,2023-01-19,Facebook,캠페인_T,자연검색,모바일,Android,Safari,2943,2504,11739,19,26.5,21,621974
서울,강남구,2023-01-19,YouTube,캠페인_J,SNS광고,모바일,iOS,Edge,3010,1875,6918,362,28.5,79,1470005
서울,종로구,2023-01-19,YouTube,캠페인_H,SNS광고,PC,Android,Edge,427,260,1620,249,38.1,11,747594
서울,서초구,2023-01-19,KakaoTalk,캠페인_N,SNS광고,모바일,iOS,Safari,1791,1134,9637,226,28.2,111,683874
부산,동래구,2023-01-20,YouTube,캠페인_E,SNS광고,PC,Windows,Safari,4673,4420,17180,234,42.2,113,428390
서울,강서구,2023-01-20,Facebook,캠페인_S,자연검색,모바일,Android,Chrome,4181,3627,11318,281,53.1,191,507358
경기,용인시,2023-01-20,Instagram,캠페인_G,자연검색,모바일,Android,Safari,3110,2749,18335,277,65.1,148,25701
대구,북구,2023-01-21,YouTube,캠페인_R,자연검색,모바일,Windows,Chrome,4899,3964,24213,82,21.0,190,726994
제주,제주시,2023-01-21,Facebook,캠페인_K,SNS광고,모바일,iOS,Safari,3212,1929,15025,195,85.2,228,996273
서울,영등포구,2023-01-22,Facebook,캠페인_Q,검색광고,PC,iOS,Edge,3735,3401,9900,325,62.4,239,550206
경기,부천시,2023-01-22,TikTok,캠페인_Q,SNS광고,모바일,Windows,Chrome,1614,1227,6954,188,36.5,66,1040631
경기,성남시,2023-01-22,Facebook,캠페인_J,SNS광고,PC,iOS,Safari,2266,1362,12395,72,29.9,69,1864586
인천,남동구,2023-01-23,YouTube,캠페인_M,SNS광고,모바일,macOS,Edge,2231,2036,10157,48,50.2,75,1187698
광주,서구,2023-01-23,KakaoTalk,캠페인_F,검색광고,태블릿,iOS,Chrome,722,680,2762,114,20.5,44,399001
경기,용인시,2023-01-23,Instagram,캠페인_M,자연검색,모바일,Android,Samsung Internet,3412,2144,6455,220,76.6,74,1220349
인천,연수구,2023-01-23,KakaoTalk,캠페인_I,자연검색,모바일,iOS,Chrome,460,435,1186,301,65.6,10,168314
부산,동래구,2023-01-24,TikTok,캠페인_B,SNS광고,모바일,iOS,Chrome,3990,2586,12665,81,34.2,251,105670
광주,북구,2023-01-24,Facebook,캠페인_I,검색광고,모바일,Android,Samsung Internet,3606,2666,15071,118,31.5,262,1904141
대구,북구,2023-01-25,Instagram,캠페인_G,검색광고,모바일,iOS,Chrome,1490,1221,6274,272,67.3,143,175711
대전,중구,2023-01-26,Facebook,캠페인_K,검색광고,모바일,Android,Safari,2752,1713,16309,298,87.1,112,1099457
광주,광산구,2023-01-26,YouTube,캠페인_D,SNS광고,모바일,iOS,Safari,1605,1431,6887,286,56.0,127,1885394
인천,부평구,2023-01-26,YouTube,캠페인_Q,자연검색,모바일,iOS,Naver앱,2962,2724,16539,210,42.0,301,281970
부산,동래구,2023-01-26,Facebook,캠페인_Q,이메일,모바일,iOS,Edge,898,646,2905,286,72.7,15,1855313
광주,광산구,2023-01-27,YouTube,캠페인_B,SNS광고,PC,iOS,Edge,4697,3230,25321,184,21.5,343,349429
부산,동래구,2023-01-27,Instagram,캠페인_D,SNS광고,태블릿,Android,Chrome,2717,2101,12063,257,26.3,197,1861046
인천,연수구,2023-01-27,Naver,캠페인_N,이메일,모바일,Android,Edge,731,567,2589,79,58.3,29,1961640
경기,용인시,2023-01-28,YouTube,캠페인_M,추천링크,PC,Android,Chrome,207,127,349,89,24.4,3,875857
대전,서구,2023-01-28,KakaoTalk,캠페인_I,직접접속,PC,Windows,Safari,1471,1378,4504,110,60.9,134,1628885
인천,서구,2023-01-28,Facebook,캠페인_I,SNS광고,PC,Android,Chrome,1981,1245,5677,386,56.4,59,417659
광주,서구,2023-01-29,YouTube,캠페인_N,SNS광고,모바일,macOS,Chrome,1642,1448,8655,281,38.8,131,1341606
인천,부평구,2023-01-29,TikTok,캠페인_M,SNS광고,PC,iOS,Safari,88,79,343,270,79.4,4,627438
부산,동래구,2023-01-30,Naver,캠페인_G,SNS광고,PC,iOS,Naver앱,1268,860,6144,138,58.2,62,890878
대구,중구,2023-01-30,KakaoTalk,캠페인_S,SNS광고,PC,iOS,Naver앱,2672,1735,11077,378,34.7,94,1054649
대전,유성구,2023-01-30,Instagram,캠페인_L,SNS광고,모바일,Android,Safari,2758,2031,16521,287,19.3,37,1731047
대구,북구,2023-01-30,Naver,캠페인_O,직접접속,모바일,Android,Samsung Internet,2520,2115,12005,17,20.6,252,544043
대구,수성구,2023-01-31,Naver,캠페인_I,SNS광고,모바일,macOS,Chrome,4711,4147,9101,148,70.2,35,1806072
인천,남동구,2023-02-01,YouTube,캠페인_O,SNS광고,모바일,Android,Naver앱,3064,2846,5466,103,70.3,107,289985
제주,서귀포시,2023-02-01,TikTok,캠페인_M,SNS광고,태블릿,iOS,Edge,4256,3358,21160,101,37.9,216,1973745
대전,서구,2023-02-01,TikTok,캠페인_T,검색광고,모바일,Windows,Safari,674,507,1816,117,65.6,41,1512886
인천,부평구,2023-02-01,Facebook,캠페인_S,자연검색,모바일,iOS,Samsung Internet,4209,2823,12320,344,51.3,329,1780972
대구,중구,2023-02-01,Naver,캠페인_O,SNS광고,모바일,Windows,Chrome,4232,2974,17304,207,19.8,348,1871065
대전,중구,2023-02-01,TikTok,캠페인_H,자연검색,PC,iOS,Samsung Internet,1555,1029,5984,399,65.5,69,313411
서울,강서구,2023-02-02,Naver,캠페인_Q,검색광고,모바일,Android,Chrome,373,225,851,210,67.9,4,1800200
경기,성남시,2023-02-02,Instagram,캠페인_M,검색광고,모바일,Android,Naver앱,1316,896,2148,94,75.8,48,163278
경기,수원시,2023-02-02,Naver,캠페인_R,검색광고,모바일,Android,Naver앱,634,424,1642,195,46.2,9,610032
서울,강서구,2023-02-03,YouTube,캠페인_C,이메일,모바일,Windows,Edge,3800,3600,15958,374,46.3,36,773957
인천,부평구,2023-02-03,Facebook,캠페인_B,자연검색,모바일,Windows,Chrome,3535,3340,13941,277,60.9,182,74484
경기,성남시,2023-02-04,Naver,캠페인_J,검색광고,모바일,iOS,Safari,4687,2876,12895,363,27.3,244,1491895
대전,서구,2023-02-04,TikTok,캠페인_G,이메일,태블릿,macOS,Naver앱,279,190,619,177,19.5,3,1052162
경기,부천시,2023-02-04,Facebook,캠페인_C,자연검색,모바일,macOS,Naver앱,2796,1882,12684,67,58.7,142,1373925
제주,제주시,2023-02-04,KakaoTalk,캠페인_A,자연검색,PC,Android,Safari,3089,2404,10671,61,18.1,62,1698138
광주,서구,2023-02-05,Instagram,캠페인_R,SNS광고,태블릿,Windows,Safari,3180,2367,17658,261,53.1,244,1411096
인천,부평구,2023-02-05,YouTube,캠페인_J,SNS광고,모바일,iOS,Edge,4824,4328,9599,134,76.4,290,1145455
대구,중구,2023-02-05,TikTok,캠페인_Q,SNS광고,모바일,iOS,Safari,939,631,2418,60,87.4,37,1138671
서울,종로구,2023-02-05,Instagram,캠페인_R,자연검색,모바일,iOS,Naver앱,2909,2167,14243,315,18.9,25,882951
대전,서구,2023-02-05,KakaoTalk,캠페인_A,SNS광고,PC,Android,Safari,35,28,149,288,59.9,2,904029
경기,성남시,2023-02-06,Naver,캠페인_C,검색광고,PC,iOS,Safari,923,578,3254,70,23.2,48,317226
대전,서구,2023-02-06,KakaoTalk,캠페인_B,이메일,모바일,Windows,Safari,3292,2884,11562,333,27.6,20,549084
서울,서초구,2023-02-06,Facebook,캠페인_T,이메일,태블릿,iOS,Chrome,4979,4469,18983,238,52.1,38,1123985
서울,노원구,2023-02-06,TikTok,캠페인_J,검색광고,모바일,Windows,Chrome,4137,3011,14954,46,83.1,104,545277
대구,달서구,2023-02-07,YouTube,캠페인_K,SNS광고,태블릿,iOS,Safari,555,387,1142,38,15.0,8,1455616
대구,북구,2023-02-07,TikTok,캠페인_A,SNS광고,모바일,iOS,Edge,1918,1352,9988,147,68.9,134,1447139
대전,유성구,2023-02-08,KakaoTalk,캠페인_D,자연검색,모바일,iOS,Samsung Internet,309,189,1128,154,17.2,6,725105
인천,부평구,2023-02-08,KakaoTalk,캠페인_P,검색광고,모바일,iOS,Chrome,4956,4635,23970,10,23.7,173,622236
제주,제주시,2023-02-09,Facebook,캠페인_N,추천링크,모바일,Windows,Safari,913,705,1753,76,61.9,74,438057
경기,성남시,2023-02-09,YouTube,캠페인_G,SNS광고,PC,Windows,Chrome,3521,2525,12876,376,24.6,26,1304268
대구,수성구,2023-02-09,KakaoTalk,캠페인_I,SNS광고,모바일,Windows,Samsung Internet,1777,1605,3841,193,70.9,22,139302
대전,유성구,2023-02-10,Instagram,캠페인_F,추천링크,모바일,Android,Chrome,2500,1799,5880,315,41.5,49,146291
광주,광산구,2023-02-10,YouTube,캠페인_O,SNS광고,PC,iOS,Safari,3372,2926,10491,61,87.8,275,1398661
서울,종로구,2023-02-10,Facebook,캠페인_A,직접접속,모바일,Windows,Safari,3894,2775,18958,312,81.0,42,1444999
제주,서귀포시,2023-02-11,YouTube,캠페인_J,SNS광고,모바일,iOS,Chrome,1909,1512,11049,214,58.7,104,880573
제주,서귀포시,2023-02-11,TikTok,캠페인_C,SNS광고,모바일,Android,Chrome,2868,2031,8458,168,66.7,145,1169891
서울,강서구,2023-02-12,Instagram,캠페인_H,이메일,모바일,iOS,Edge,4688,4195,21350,258,79.0,335,1597039
대구,달서구,2023-02-12,Naver,캠페인_D,검색광고,모바일,iOS,Naver앱,1404,1091,4271,142,75.2,113,221674
서울,마포구,2023-02-12,KakaoTalk,캠페인_C,검색광고,PC,Android,Safari,4370,3675,22181,318,52.1,140,1712200
부산,사상구,2023-02-12,Naver,캠페인_N,SNS광고,모바일,iOS,Samsung Internet,2242,1701,4665,274,65.0,132,813751
광주,광산구,2023-02-12,Facebook,캠페인_F,이메일,모바일,Android,Samsung Internet,1139,884,5510,283,54.3,80,1876654
부산,수영구,2023-02-12,YouTube,캠페인_S,직접접속,모바일,Android,Edge,1251,966,5651,151,56.1,76,1645478
경기,남양주시,2023-02-13,Facebook,캠페인_L,검색광고,모바일,iOS,Chrome,3738,2656,6423,378,30.7,256,673582
광주,북구,2023-02-13,TikTok,캠페인_M,추천링크,모바일,Android,Chrome,1316,1154,4773,29,35.1,58,348919
대구,달서구,2023-02-13,TikTok,캠페인_R,이메일,모바일,iOS,Naver앱,3921,2598,12202,32,81.5,249,451518
경기,화성시,2023-02-13,Instagram,캠페인_G,검색광고,모바일,Android,Edge,287,208,1311,29,30.5,23,723676
대전,서구,2023-02-13,TikTok,캠페인_R,검색광고,모바일,iOS,Safari,3326,2658,17543,134,32.1,108,765632
대전,중구,2023-02-14,Naver,캠페인_Q,SNS광고,PC,iOS,Samsung Internet,1195,933,6970,206,48.2,4,388733
경기,고양시,2023-02-14,Instagram,캠페인_R,SNS광고,PC,iOS,Samsung Internet,3703,2866,11298,21,19.9,248,1488062
인천,남동구,2023-02-14,Instagram,캠페인_C,SNS광고,PC,iOS,Chrome,4549,3531,24597,243,44.1,376,1886415
경기,안산시,2023-02-14,Facebook,캠페인_L,검색광고,PC,iOS,Naver앱,1610,1391,6394,344,83.4,43,1448546
광주,서구,2023-02-14,TikTok,캠페인_L,이메일,모바일,Android,Chrome,2984,1860,12330,238,24.1,82,1494338
경기,화성시,2023-02-15,Facebook,캠페인_L,SNS광고,PC,Windows,Samsung Internet,1930,1414,10081,166,55.1,156,1745581
대전,유성구,2023-02-15,TikTok,캠페인_L,자연검색,모바일,iOS,Samsung Internet,2801,1875,16795,92,28.2,207,1018020
경기,부천시,2023-02-16,KakaoTalk,캠페인_T,이메일,PC,Android,Chrome,2427,1673,5974,216,70.3,137,607022
인천,남동구,2023-02-16,Naver,캠페인_E,SNS광고,모바일,Android,Chrome,2502,1569,5193,392,41.9,58,839545
제주,서귀포시,2023-02-16,TikTok,캠페인_Q,SNS광고,모바일,Android,Chrome,1908,1748,9533,148,44.4,64,1441340
서울,서초구,2023-02-16,YouTube,캠페인_R,자연검색,PC,macOS,Samsung Internet,3985,2643,15678,361,76.0,75,119124
서울,강서구,2023-02-17,Facebook,캠페인_C,이메일,모바일,iOS,Chrome,2966,1870,12541,319,48.7,142,1957178
경기,안산시,2023-02-17,Instagram,캠페인_J,검색광고,PC,Android,Edge,2951,2324,11288,296,37.2,162,682382
대구,중구,2023-02-17,TikTok,캠페인_E,검색광고,모바일,iOS,Chrome,25,20,105,215,34.8,1,1118542
부산,사상구,2023-02-17,KakaoTalk,캠페인_D,자연검색,태블릿,iOS,Samsung Internet,1021,956,4308,208,71.4,72,1324248
대전,유성구,2023-02-18,KakaoTalk,캠페인_G,자연검색,모바일,macOS,Safari,4315,3513,11576,60,18.7,324,308883
경기,용인시,2023-02-18,TikTok,캠페인_A,이메일,모바일,Android,Naver앱,2519,1833,9291,136,53.1,52,1070479
부산,동래구,2023-02-19,KakaoTalk,캠페인_J,추천링크,모바일,iOS,Chrome,4417,3362,14395,60,28.7,39,738270
대구,중구,2023-02-19,Instagram,캠페인_F,자연검색,모바일,Windows,Chrome,1932,1285,6231,102,52.7,143,336137
대전,유성구,2023-02-19,YouTube,캠페인_B,자연검색,모바일,Android,Edge,4966,3723,10854,84,78.5,284,1965714
서울,노원구,2023-02-19,Instagram,캠페인_K,자연검색,모바일,macOS,Samsung Internet,1786,1580,6756,318,83.9,28,687761
인천,서구,2023-02-20,Instagram,캠페인_C,SNS광고,모바일,macOS,Chrome,2689,2045,10402,346,37.2,141,262332
광주,서구,2023-02-20,Facebook,캠페인_T,검색광고,모바일,Windows,Safari,448,307,1280,365,67.1,35,895994
대전,유성구,2023-02-21,Facebook,캠페인_H,직접접속,PC,iOS,Naver앱,865,585,5104,259,50.9,30,1060895
서울,마포구,2023-02-21,KakaoTalk,캠페인_O,SNS광고,모바일,Android,Edge,917,610,3287,143,32.3,3,734303
인천,남동구,2023-02-22,YouTube,캠페인_A,SNS광고,모바일,Android,Chrome,4663,2829,13643,386,36.6,103,807060
제주,서귀포시,2023-02-22,KakaoTalk,캠페인_T,SNS광고,모바일,Android,Samsung Internet,525,403,906,281,53.3,16,1610245
부산,동래구,2023-02-23,Facebook,캠페인_Q,자연검색,모바일,Windows,Safari,856,749,1424,286,70.5,34,1385805
제주,제주시,2023-02-23,YouTube,캠페인_O,SNS광고,모바일,macOS,Safari,2228,1948,7159,388,48.4,64,1693083
대전,서구,2023-02-23,YouTube,캠페인_O,검색광고,모바일,Android,Chrome,2049,1405,6370,177,18.6,116,1159011
대구,달서구,2023-02-23,YouTube,캠페인_J,직접접속,PC,iOS,Safari,1270,1072,2362,265,42.3,31,1732841
대전,중구,2023-02-24,Naver,캠페인_D,검색광고,모바일,Android,Chrome,112,82,441,200,47.2,0,1358168
광주,광산구,2023-02-24,YouTube,캠페인_H,SNS광고,모바일,iOS,Safari,4270,3185,10140,209,82.1,307,1953865
경기,수원시,2023-02-24,YouTube,캠페인_K,추천링크,PC,iOS,Chrome,3874,3367,14477,261,55.3,106,915037
광주,광산구,2023-02-24,YouTube,캠페인_D,자연검색,모바일,Android,Samsung Internet,3528,3184,13404,194,61.2,290,310253
부산,동래구,2023-02-24,YouTube,캠페인_J,SNS광고,모바일,Android,Edge,1740,1459,9712,65,40.7,73,1610570
대전,유성구,2023-02-25,Facebook,캠페인_I,직접접속,태블릿,Windows,Samsung Internet,666,443,3851,386,75.1,48,1228639
대전,중구,2023-02-25,KakaoTalk,캠페인_A,SNS광고,모바일,Android,Chrome,3744,3551,18289,285,47.2,285,369124
광주,북구,2023-02-26,KakaoTalk,캠페인_D,SNS광고,모바일,Android,Chrome,178,165,977,253,87.9,6,648791
대구,수성구,2023-02-26,Naver,캠페인_J,SNS광고,모바일,macOS,Chrome,1052,867,4259,368,64.7,34,275247
대구,달서구,2023-02-27,Instagram,캠페인_K,검색광고,모바일,Android,Chrome,4740,3368,8358,150,55.5,234,1420147
경기,성남시,2023-02-27,YouTube,캠페인_D,검색광고,PC,Android,Chrome,701,499,3806,262,22.4,25,394126
인천,부평구,2023-02-27,TikTok,캠페인_G,SNS광고,모바일,Android,Samsung Internet,214,158,1240,187,35.0,7,651298
대구,수성구,2023-02-28,YouTube,캠페인_J,직접접속,모바일,Android,Samsung Internet,4340,3327,11027,181,45.4,285,1500515
제주,제주시,2023-02-28,YouTube,캠페인_E,자연검색,모바일,Android,Safari,3378,3161,15052,130,51.4,75,1711175
대구,수성구,2023-02-28,Instagram,캠페인_G,이메일,모바일,iOS,Chrome,4630,2793,18840,257,35.0,120,833646
광주,광산구,2023-03-01,TikTok,캠페인_G,SNS광고,모바일,Windows,Safari,2063,1635,3481,199,35.9,136,950159
경기,부천시,2023-03-01,TikTok,캠페인_A,자연검색,모바일,Windows,Edge,28,17,107,262,68.3,1,1340988
광주,서구,2023-03-01,Instagram,캠페인_T,자연검색,PC,iOS,Chrome,2616,1692,6056,22,32.2,60,927264
대전,중구,2023-03-01,KakaoTalk,캠페인_F,자연검색,PC,Android,Samsung Internet,4284,3244,16832,139,34.5,129,799680
인천,서구,2023-03-02,TikTok,캠페인_F,SNS광고,모바일,Android,Samsung Internet,3848,2910,14595,68,39.3,246,905117
부산,해운대구,2023-03-02,Naver,캠페인_I,검색광고,모바일,Android,Naver앱,4919,4125,25118,59,53.5,327,125461
제주,제주시,2023-03-03,Instagram,캠페인_S,자연검색,PC,iOS,Naver앱,2974,2547,16268,74,52.9,193,1750473
인천,남동구,2023-03-03,TikTok,캠페인_I,검색광고,모바일,iOS,Chrome,2142,1563,12658,139,23.8,50,53051
인천,연수구,2023-03-04,YouTube,캠페인_M,SNS광고,모바일,iOS,Chrome,3303,2619,5589,133,36.2,60,1628736
대구,중구,2023-03-04,Instagram,캠페인_A,검색광고,모바일,iOS,Edge,4007,2445,7295,312,59.8,222,407023
대전,유성구,2023-03-05,YouTube,캠페인_P,이메일,PC,Android,Chrome,3727,3142,20538,43,17.1,193,403696
경기,안산시,2023-03-05,KakaoTalk,캠페인_M,이메일,모바일,Android,Safari,4773,4254,25382,246,78.9,255,1699752
서울,서초구,2023-03-05,TikTok,캠페인_D,SNS광고,모바일,Windows,Safari,1407,849,8086,149,16.7,15,1381631
대구,달서구,2023-03-05,Instagram,캠페인_C,자연검색,PC,Android,Safari,935,868,2368,356,74.9,87,1824394
인천,남동구,2023-03-06,Naver,캠페인_M,직접접속,PC,Android,Chrome,4299,3898,24349,356,84.2,278,242351
부산,해운대구,2023-03-06,YouTube,캠페인_D,검색광고,태블릿,Android,Samsung Internet,3023,2840,15568,55,23.4,232,1980032
경기,부천시,2023-03-06,KakaoTalk,캠페인_M,추천링크,모바일,Windows,Naver앱,775,649,3502,105,75.7,27,1107469
대구,수성구,2023-03-06,TikTok,캠페인_B,SNS광고,모바일,Windows,Naver앱,4013,3767,20378,300,19.7,316,1195924
대구,북구,2023-03-06,Naver,캠페인_S,SNS광고,모바일,iOS,Edge,1910,1725,6575,40,79.1,167,1104195
인천,연수구,2023-03-07,Naver,캠페인_C,SNS광고,모바일,iOS,Naver앱,833,714,4664,374,57.4,19,1422485
인천,서구,2023-03-07,KakaoTalk,캠페인_B,SNS광고,모바일,Android,Safari,2296,1464,5587,159,73.0,157,1847999
인천,남동구,2023-03-07,YouTube,캠페인_P,자연검색,모바일,Android,Safari,1340,1162,4823,101,35.4,45,850459
대전,중구,2023-03-07,YouTube,캠페인_C,이메일,모바일,Windows,Naver앱,706,666,2071,285,47.2,22,794145
서울,서초구,2023-03-07,Facebook,캠페인_F,검색광고,PC,Android,Samsung Internet,1081,857,4972,156,87.0,100,1646594
