날짜,캠페인명,플랫폼,광고형식,소재유형,색감,해시태그수,텍스트길이,동영상길이(초),노출수,클릭수,CTR(%),좋아요,공유,광고비(원),전환수,소재평점,A/B그룹
2023-01-11,캠페인_O,YouTube,카드뉴스,긴급성강조형,비비드,11,43,0,40826,1444,3.54,850,69,1625807,94,4.8,A
2023-01-11,캠페인_B,Instagram,이미지,감성소구형,파스텔,0,125,0,21039,279,1.33,1074,114,1197146,18,1.2,A
2023-01-11,캠페인_Q,Facebook,카드뉴스,유머형,밝음,10,181,0,196414,9721,4.95,3643,217,2665402,181,5.9,B
2023-01-12,캠페인_Q,Facebook,배너,유머형,모노톤,4,252,0,198086,10695,5.4,3056,312,364066,715,3.4,B
2023-01-12,캠페인_I,TikTok,스토리,정보제공형,어두움,0,237,0,33032,1838,5.56,725,42,272616,180,7.4,B
2023-01-12,캠페인_K,Naver,카드뉴스,혜택강조형,비비드,8,118,0,139129,1980,1.42,5676,501,1125864,30,2.1,B
2023-01-12,캠페인_S,KakaoTalk,릴스,감성소구형,어두움,4,78,55,153252,4285,2.8,7879,582,134484,178,7.2,B
2023-01-13,캠페인_P,KakaoTalk,배너,정보제공형,밝음,0,183,0,165925,4718,2.84,6812,786,572233,454,6.9,C
2023-01-13,캠페인_R,Naver,스토리,정보제공형,파스텔,0,84,0,30384,2112,6.95,973,27,798308,132,7.6,C
2023-01-13,캠페인_S,Facebook,배너,유머형,밝음,14,271,0,49497,1920,3.88,1861,101,1194639,32,6.1,A
2023-01-13,캠페인_N,Facebook,이미지,혜택강조형,어두움,4,291,0,186366,4831,2.59,9003,252,2730885,356,3.3,A
2023-01-14,캠페인_N,YouTube,스토리,혜택강조형,모노톤,14,59,0,187661,6428,3.43,7707,523,1984931,232,8.6,B
2023-01-15,캠페인_C,Naver,릴스,혜택강조형,모노톤,11,238,103,178318,6472,3.63,9037,443,239611,402,5.0,A
2023-01-16,캠페인_E,Instagram,이미지,정보제공형,밝음,8,42,0,110344,7664,6.95,3465,202,1694111,326,1.2,C
2023-01-17,캠페인_I,TikTok,배너,유머형,파스텔,2,170,0,35410,1168,3.3,726,68,2389405,47,7.2,B
2023-01-17,캠페인_J,Naver,릴스,혜택강조형,비비드,5,270,117,89609,1376,1.54,5053,180,342418,25,5.0,C
2023-01-18,캠페인_A,YouTube,릴스,긴급성강조형,어두움,12,194,39,112731,6971,6.18,6735,481,1531443,580,8.1,C
2023-01-18,캠페인_M,YouTube,배너,감성소구형,모노톤,1,259,0,166068,3994,2.41,7337,385,1524564,155,3.9,C
2023-01-18,캠페인_C,Instagram,이미지,감성소구형,밝음,10,176,0,161860,11137,6.88,2981,135,2575105,134,4.0,B
2023-01-18,캠페인_I,TikTok,스토리,유머형,밝음,2,18,0,128997,8210,6.36,5405,238,725352,194,4.8,B
2023-01-18,캠페인_S,Instagram,릴스,감성소구형,밝음,0,57,95,134586,6996,5.2,1193,81,348099,226,3.6,C
2023-01-19,캠페인_Q,Naver,릴스,감성소구형,모노톤,10,286,8,176879,1422,0.8,3012,176,1293557,81,6.3,B
2023-01-19,캠페인_B,YouTube,이미지,유머형,어두움,9,80,0,33453,1682,5.03,309,9,972708,43,5.8,A
2023-01-20,캠페인_L,Instagram,배너,정보제공형,비비드,9,45,0,76583,4319,5.64,2033,234,478183,72,8.1,B
2023-01-20,캠페인_M,Naver,카드뉴스,감성소구형,비비드,7,246,0,43642,1580,3.62,558,37,2148365,129,3.4,B
2023-01-20,캠페인_P,Instagram,이미지,유머형,어두움,4,101,0,66500,3508,5.28,1761,163,2587289,95,7.6,C
2023-01-20,캠페인_I,KakaoTalk,이미지,혜택강조형,모노톤,11,277,0,86532,3602,4.16,1101,82,1813492,350,3.9,B
2023-01-20,캠페인_A,Naver,릴스,정보제공형,비비드,4,142,70,50442,1168,2.32,1286,108,64882,114,3.8,B
2023-01-21,캠페인_M,KakaoTalk,동영상,긴급성강조형,모노톤,0,293,54,35824,2220,6.2,1796,66,2186800,196,4.4,B
2023-01-21,캠페인_H,KakaoTalk,릴스,감성소구형,어두움,0,220,28,132042,8919,6.75,3339,124,466441,180,3.6,A
2023-01-22,캠페인_E,YouTube,카드뉴스,유머형,파스텔,6,275,0,86188,944,1.1,5024,369,2333514,65,2.3,A
2023-01-22,캠페인_G,Naver,스토리,혜택강조형,어두움,9,131,0,194877,10956,5.62,7099,589,2374932,597,3.7,A
2023-01-24,캠페인_A,Instagram,이미지,혜택강조형,어두움,1,24,0,49009,2065,4.21,2194,246,1282832,154,2.1,B
2023-01-24,캠페인_J,Instagram,카드뉴스,유머형,파스텔,5,20,0,175749,1924,1.09,7463,526,2369056,119,6.8,C
2023-01-24,캠페인_I,Naver,이미지,혜택강조형,밝음,13,117,0,10224,519,5.08,440,21,1408494,15,1.6,B
2023-01-24,캠페인_O,KakaoTalk,릴스,감성소구형,모노톤,13,130,28,153851,9006,5.85,7744,856,2818282,593,7.0,B
2023-01-25,캠페인_O,KakaoTalk,스토리,긴급성강조형,파스텔,8,173,0,19737,860,4.36,175,6,224040,70,8.8,B
2023-01-25,캠페인_R,KakaoTalk,스토리,감성소구형,비비드,10,166,0,152969,5707,3.73,3978,278,808551,529,4.4,C
2023-01-25,캠페인_E,Facebook,릴스,혜택강조형,밝음,8,61,39,116280,7864,6.76,5794,313,1409758,184,4.2,C
2023-01-26,캠페인_G,Facebook,동영상,혜택강조형,밝음,0,101,85,90485,4575,5.06,4327,259,1711538,299,9.3,C
2023-01-26,캠페인_T,Instagram,릴스,긴급성강조형,밝음,14,286,81,123753,1111,0.9,6301,390,317334,110,3.9,A
2023-01-26,캠페인_B,Naver,카드뉴스,긴급성강조형,모노톤,14,181,0,124111,5327,4.29,628,47,1763593,256,2.6,C
2023-01-27,캠페인_H,YouTube,스토리,감성소구형,파스텔,4,29,0,83508,5701,6.83,3141,217,307384,130,8.6,B
2023-01-28,캠페인_D,TikTok,동영상,혜택강조형,모노톤,8,126,36,86887,4448,5.12,4777,257,2281034,228,9.2,A
2023-01-28,캠페인_M,TikTok,스토리,정보제공형,비비드,13,87,0,76730,4006,5.22,2781,163,487163,356,9.3,A
2023-01-28,캠페인_G,TikTok,동영상,유머형,모노톤,14,298,58,84096,3187,3.79,943,61,215920,108,4.4,C
2023-01-29,캠페인_P,YouTube,스토리,긴급성강조형,모노톤,1,27,0,173821,6566,3.78,5838,693,2165258,164,7.1,B
2023-01-30,캠페인_L,Facebook,배너,긴급성강조형,모노톤,6,286,0,136989,7751,5.66,1286,45,271714,228,8.8,A
2023-01-30,캠페인_N,TikTok,릴스,긴급성강조형,밝음,12,102,109,180476,4486,2.49,9749,205,270340,420,7.0,B
2023-01-30,캠페인_J,Naver,릴스,정보제공형,파스텔,4,83,36,12936,165,1.28,358,16,333654,2,9.1,B
2023-01-30,캠페인_F,Naver,릴스,긴급성강조형,비비드,0,247,94,178151,7030,3.95,3337,360,1028753,455,1.5,B
2023-01-31,캠페인_B,TikTok,배너,긴급성강조형,파스텔,4,295,0,121300,5238,4.32,1001,85,2168394,417,9.5,B
2023-01-31,캠페인_A,Naver,스토리,정보제공형,모노톤,5,126,0,145348,2002,1.38,5520,254,1030892,158,9.4,A
2023-02-01,캠페인_H,Naver,배너,유머형,밝음,13,80,0,95166,2546,2.68,703,59,90428,137,6.7,B
2023-02-01,캠페인_D,Instagram,배너,긴급성강조형,밝음,8,80,0,28520,507,1.78,1407,58,2782241,5,9.5,A
2023-02-01,캠페인_S,YouTube,릴스,혜택강조형,어두움,4,141,73,34638,725,2.09,461,43,1182919,15,5.2,C
2023-02-01,캠페인_G,Instagram,배너,혜택강조형,파스텔,13,289,0,50478,3265,6.47,516,14,2496273,139,2.8,B
2023-02-01,캠페인_D,TikTok,동영상,유머형,비비드,9,218,24,166469,8270,4.97,9738,596,1479290,241,3.0,A
2023-02-01,캠페인_K,KakaoTalk,카드뉴스,유머형,어두움,13,34,0,168835,4427,2.62,4682,551,2259456,316,6.9,A
2023-02-02,캠페인_N,Facebook,이미지,긴급성강조형,밝음,2,206,0,144253,1352,0.94,6569,149,2546829,41,8.4,A
2023-02-02,캠페인_F,TikTok,동영상,혜택강조형,모노톤,12,235,13,108668,853,0.78,981,102,1559680,59,5.1,A
2023-02-02,캠페인_R,TikTok,릴스,혜택강조형,어두움,7,200,57,136570,2865,2.1,7479,415,504684,224,2.8,C
2023-02-03,캠페인_C,Naver,스토리,혜택강조형,어두움,12,89,0,162779,11051,6.79,7362,700,1287142,183,2.8,A
2023-02-03,캠페인_A,YouTube,동영상,긴급성강조형,어두움,9,201,60,170748,6146,3.6,8455,560,919533,84,1.6,B
2023-02-03,캠페인_T,YouTube,배너,정보제공형,파스텔,7,10,0,191291,10180,5.32,11345,644,281684,342,8.0,A
2023-02-04,캠페인_B,Naver,스토리,감성소구형,모노톤,2,88,0,128630,6885,5.35,7530,394,1573230,252,2.2,B
2023-02-04,캠페인_B,KakaoTalk,스토리,감성소구형,비비드,9,58,0,151166,9612,6.36,4824,261,2020338,916,2.7,B
2023-02-04,캠페인_G,YouTube,이미지,긴급성강조형,어두움,3,59,0,148353,9311,6.28,8781,945,1504898,257,2.6,A
2023-02-05,캠페인_M,TikTok,배너,혜택강조형,밝음,9,145,0,99455,2423,2.44,1590,56,515184,194,5.4,C
2023-02-05,캠페인_T,KakaoTalk,배너,정보제공형,어두움,14,101,0,10274,362,3.52,513,25,2611395,19,6.8,B
2023-02-05,캠페인_C,Naver,카드뉴스,유머형,어두움,9,217,0,22435,390,1.74,967,55,2379543,28,4.9,B
2023-02-06,캠페인_L,KakaoTalk,스토리,유머형,어두움,3,295,0,16361,151,0.92,894,103,2536530,14,6.0,C
2023-02-06,캠페인_E,KakaoTalk,릴스,유머형,밝음,3,13,101,118670,3314,2.79,6626,695,1000467,111,4.6,A
2023-02-06,캠페인_G,Facebook,카드뉴스,긴급성강조형,밝음,13,145,0,105638,2840,2.69,6072,188,2508439,224,3.6,C
2023-02-06,캠페인_M,TikTok,릴스,혜택강조형,파스텔,14,217,71,11220,373,3.32,616,33,2162202,29,6.2,B
2023-02-06,캠페인_H,Naver,이미지,정보제공형,파스텔,12,93,0,173108,9195,5.31,5253,173,1174837,606,3.2,A
2023-02-06,캠페인_S,Facebook,릴스,정보제공형,어두움,1,226,25,162400,6613,4.07,3091,91,1387410,609,3.4,B
2023-02-07,캠페인_S,TikTok,카드뉴스,긴급성강조형,밝음,9,75,0,111356,2813,2.53,2190,237,931275,254,4.5,B
2023-02-08,캠페인_L,Naver,스토리,유머형,파스텔,12,239,0,133616,8517,6.37,1001,102,1045110,277,4.6,B
2023-02-08,캠페인_Q,KakaoTalk,카드뉴스,긴급성강조형,비비드,7,232,0,151785,9830,6.48,2313,227,2796782,511,9.6,A
2023-02-10,캠페인_R,TikTok,이미지,감성소구형,파스텔,1,262,0,20305,1080,5.32,360,21,82420,49,7.2,C
2023-02-10,캠페인_C,KakaoTalk,이미지,유머형,비비드,8,93,0,41601,2263,5.44,2009,41,1272690,97,6.3,C
2023-02-10,캠페인_A,KakaoTalk,동영상,감성소구형,모노톤,12,133,16,15732,449,2.85,384,14,2783379,12,9.7,C
2023-02-10,캠페인_T,Instagram,이미지,긴급성강조형,모노톤,14,119,0,22875,1265,5.53,920,65,369382,119,1.4,A
2023-02-10,캠페인_C,Instagram,배너,정보제공형,파스텔,7,245,0,84187,1531,1.82,1617,47,1925231,28,3.9,C
2023-02-10,캠페인_E,Facebook,카드뉴스,긴급성강조형,비비드,4,141,0,149695,1222,0.82,1889,77,925653,51,4.6,A
2023-02-11,캠페인_K,TikTok,릴스,정보제공형,어두움,8,35,85,29792,377,1.27,1538,175,2817315,5,7.5,C
2023-02-11,캠페인_H,YouTube,스토리,정보제공형,모노톤,0,280,0,196737,11317,5.75,8397,550,165095,515,4.0,B
2023-02-11,캠페인_Q,YouTube,스토리,감성소구형,모노톤,10,275,0,95412,6287,6.59,5017,484,482770,119,9.6,C
2023-02-11,캠페인_I,Naver,릴스,긴급성강조형,모노톤,10,102,7,182446,4709,2.58,8069,353,106516,93,2.7,A
2023-02-12,캠페인_S,Naver,배너,감성소구형,어두움,3,14,0,121232,5027,4.15,1290,34,2301437,256,3.9,B
2023-02-12,캠페인_T,Instagram,배너,유머형,밝음,0,41,0,71900,812,1.13,2336,232,660485,15,4.5,A
2023-02-12,캠페인_E,Facebook,배너,감성소구형,파스텔,12,121,0,196073,12610,6.43,2164,108,1564288,538,7.1,B
2023-02-13,캠페인_H,KakaoTalk,카드뉴스,정보제공형,파스텔,4,34,0,69783,4413,6.32,3590,364,1000206,408,1.0,C
2023-02-13,캠페인_O,YouTube,릴스,긴급성강조형,비비드,13,83,93,169604,9615,5.67,3828,261,1169633,361,9.5,A
2023-02-14,캠페인_F,TikTok,이미지,긴급성강조형,밝음,2,25,0,69270,2543,3.67,1699,178,1994426,56,2.8,C
2023-02-14,캠페인_E,Facebook,동영상,혜택강조형,어두움,8,73,101,138900,4786,3.45,2293,69,518039,333,3.1,C
2023-02-14,캠페인_R,Naver,동영상,유머형,어두움,3,98,58,143841,7706,5.36,4559,188,46934,728,9.0,C
2023-02-16,캠페인_K,Facebook,카드뉴스,유머형,어두움,11,207,0,128462,5354,4.17,7602,901,150077,146,4.4,B
2023-02-17,캠페인_R,Naver,배너,혜택강조형,모노톤,1,289,0,21894,351,1.6,116,13,2064934,24,1.9,A
2023-02-17,캠페인_K,YouTube,스토리,유머형,비비드,8,107,0,87764,5598,6.38,1894,44,1311689,548,9.8,B
2023-02-17,캠페인_D,TikTok,카드뉴스,유머형,밝음,7,144,0,118009,1920,1.63,2468,256,2574290,187,3.1,C
2023-02-17,캠페인_O,YouTube,카드뉴스,유머형,모노톤,1,215,0,178643,6276,3.51,9856,860,2709712,140,8.6,B
2023-02-19,캠페인_M,TikTok,배너,정보제공형,비비드,0,130,0,88045,997,1.13,1630,108,1226483,16,2.4,B
2023-02-19,캠페인_C,YouTube,카드뉴스,긴급성강조형,어두움,10,268,0,25605,1241,4.85,502,25,1873416,43,4.3,A
2023-02-20,캠페인_P,KakaoTalk,카드뉴스,유머형,어두움,13,130,0,111514,5100,4.57,2667,218,756359,498,2.2,A
2023-02-21,캠페인_F,Naver,릴스,감성소구형,모노톤,13,166,16,124880,3759,3.01,3621,401,364992,187,8.2,B
2023-02-21,캠페인_S,TikTok,릴스,혜택강조형,비비드,12,209,113,147149,3303,2.24,4375,460,517577,301,8.0,C
2023-02-22,캠페인_P,KakaoTalk,릴스,유머형,비비드,8,184,53,52251,3262,6.24,956,113,1117805,234,6.2,A
2023-02-22,캠페인_D,Facebook,동영상,감성소구형,어두움,6,286,83,60274,1505,2.5,785,25,2706323,133,7.3,C
2023-02-23,캠페인_F,Facebook,카드뉴스,감성소구형,비비드,1,138,0,174718,8610,4.93,6167,129,1883834,411,7.6,A
2023-02-23,캠페인_B,YouTube,배너,긴급성강조형,밝음,3,144,0,105706,913,0.86,2110,161,309759,61,1.8,C
2023-02-23,캠페인_A,KakaoTalk,이미지,긴급성강조형,어두움,6,234,0,4504,97,2.15,23,2,2913571,4,7.2,A
2023-02-24,캠페인_S,Facebook,배너,유머형,어두움,13,192,0,153050,2525,1.65,7883,405,2118305,40,8.4,C
2023-02-24,캠페인_N,TikTok,동영상,긴급성강조형,비비드,12,73,46,180884,4141,2.29,2648,281,679102,149,2.6,B
2023-02-25,캠페인_I,Instagram,스토리,유머형,밝음,6,11,0,135700,8603,6.34,1387,118,1858436,323,4.9,A
2023-02-25,캠페인_E,Instagram,릴스,긴급성강조형,밝음,6,129,59,110513,2277,2.06,3737,367,2187838,114,7.7,A
2023-02-26,캠페인_B,Facebook,릴스,감성소구형,비비드,4,156,78,66694,3008,4.51,3729,358,862699,31,2.5,B
2023-02-27,캠페인_D,Naver,스토리,혜택강조형,모노톤,9,15,0,190724,2520,1.32,9184,500,2990275,126,1.3,A
2023-02-28,캠페인_E,YouTube,릴스,혜택강조형,파스텔,9,147,15,180871,12011,6.64,8559,286,2844714,985,6.5,A
2023-03-01,캠페인_M,YouTube,릴스,유머형,어두움,9,235,31,61796,1357,2.2,320,10,705448,80,9.7,B
2023-03-02,캠페인_C,Naver,카드뉴스,긴급성강조형,비비드,7,49,0,78029,2721,3.49,1204,141,992179,151,4.2,C
2023-03-03,캠페인_N,Facebook,스토리,유머형,파스텔,13,269,0,97365,2977,3.06,4846,134,2909109,115,1.3,A
2023-03-03,캠페인_Q,TikTok,릴스,긴급성강조형,어두움,11,281,91,66679,4319,6.48,1680,190,2378997,170,4.2,B
2023-03-05,캠페인_E,KakaoTalk,스토리,유머형,모노톤,14,216,0,153676,4420,2.88,1579,140,2568396,210,9.5,C
2023-03-05,캠페인_R,TikTok,이미지,혜택강조형,파스텔,8,81,0,122832,3342,2.72,5285,521,1464111,111,4.8,C
2023-03-06,캠페인_S,YouTube,카드뉴스,긴급성강조형,모노톤,4,133,0,194489,3835,1.97,9208,1032,1895287,289,4.8,A
2023-03-06,캠페인_Q,TikTok,스토리,유머형,비비드,7,291,0,171266,2315,1.35,2351,177,2619220,139,7.9,C
2023-03-07,캠페인_T,Naver,배너,혜택강조형,모노톤,9,212,0,75853,890,1.17,4312,376,2750828,83,6.4,B
2023-03-07,캠페인_E,Naver,카드뉴스,긴급성강조형,어두움,2,290,0,24734,1309,5.29,884,38,1599766,79,8.9,B
2023-03-08,캠페인_O,YouTube,릴스,감성소구형,파스텔,12,79,93,177418,2631,1.48,9191,764,1412746,132,8.5,C
2023-03-08,캠페인_Q,Instagram,이미지,혜택강조형,파스텔,12,29,0,9417,466,4.95,323,11,105422,43,6.9,A
2023-03-08,캠페인_Q,YouTube,카드뉴스,혜택강조형,파스텔,13,75,0,187651,7876,4.2,10496,879,518460,189,5.0,C
2023-03-08,캠페인_E,Instagram,배너,감성소구형,비비드,2,199,0,145246,2891,1.99,6047,578,1529878,222,8.3,A
2023-03-10,캠페인_J,Facebook,릴스,유머형,모노톤,2,229,24,101591,1746,1.72,5169,232,1316736,167,9.4,B
2023-03-10,캠페인_F,KakaoTalk,이미지,유머형,어두움,11,104,0,90242,1906,2.11,2608,285,130728,168,1.8,A
2023-03-10,캠페인_P,Facebook,이미지,유머형,밝음,11,89,0,64339,4331,6.73,3323,97,1114511,246,4.8,B
2023-03-10,캠페인_O,YouTube,스토리,정보제공형,비비드,7,71,0,186247,8828,4.74,2856,82,1525487,208,9.4,C
2023-03-10,캠페인_J,TikTok,배너,유머형,파스텔,3,214,0,166867,9048,5.42,7534,260,1765641,442,4.9,A
2023-03-11,캠페인_D,KakaoTalk,스토리,감성소구형,비비드,4,160,0,58347,1377,2.36,1247,84,2778750,122,7.0,C
2023-03-11,캠페인_A,Facebook,배너,유머형,어두움,0,135,0,38561,287,0.74,868,94,1360310,15,7.5,B
2023-03-13,캠페인_A,TikTok,카드뉴스,긴급성강조형,밝음,0,282,0,159687,2184,1.37,2679,104,2966064,146,6.2,B
2023-03-13,캠페인_J,YouTube,카드뉴스,긴급성강조형,모노톤,0,195,0,197452,10173,5.15,10468,449,1732242,379,2.8,C
2023-03-13,캠페인_I,YouTube,릴스,혜택강조형,밝음,4,150,48,179338,6534,3.64,5850,614,1087891,244,3.8,B
2023-03-13,캠페인_P,TikTok,스토리,긴급성강조형,파스텔,5,271,0,66088,1246,1.89,3394,236,1391460,48,5.6,B
2023-03-13,캠페인_N,Facebook,이미지,혜택강조형,어두움,11,49,0,121149,5465,4.51,680,63,1332142,335,7.6,C
2023-03-14,캠페인_L,Instagram,동영상,감성소구형,파스텔,0,250,38,116211,4740,4.08,3618,125,97016,238,5.5,B
2023-03-15,캠페인_R,YouTube,동영상,감성소구형,모노톤,11,40,43,77468,4571,5.9,3240,189,569764,214,9.1,A
2023-03-15,캠페인_K,YouTube,릴스,정보제공형,모노톤,10,78,84,162870,8689,5.33,4785,338,2019534,163,4.2,B
2023-03-15,캠페인_K,Facebook,스토리,정보제공형,파스텔,14,234,0,76179,4974,6.53,4521,448,1509450,210,5.7,B
2023-03-16,캠페인_D,KakaoTalk,동영상,감성소구형,밝음,12,12,8,23641,834,3.53,492,35,2449017,32,8.8,C
2023-03-16,캠페인_Q,YouTube,스토리,긴급성강조형,비비드,10,225,0,15570,803,5.16,403,34,690739,14,2.3,B
2023-03-16,캠페인_B,YouTube,배너,유머형,파스텔,3,43,0,128963,6338,4.91,5853,359,1298647,472,8.9,B
2023-03-17,캠페인_R,TikTok,이미지,긴급성강조형,비비드,7,268,0,149622,8069,5.39,892,87,2841848,296,6.3,A
2023-03-17,캠페인_K,YouTube,이미지,감성소구형,어두움,10,199,0,152679,5134,3.36,3934,117,2147955,409,5.7,B
2023-03-17,캠페인_N,KakaoTalk,카드뉴스,정보제공형,모노톤,10,260,0,110844,2424,2.19,2622,267,1705587,73,4.0,C
2023-03-18,캠페인_A,KakaoTalk,배너,긴급성강조형,비비드,7,282,0,42223,2530,5.99,1738,133,1885256,39,9.2,A
2023-03-18,캠페인_F,KakaoTalk,카드뉴스,유머형,모노톤,8,89,0,52901,3693,6.98,1625,48,483443,182,4.8,B
2023-03-18,캠페인_J,YouTube,동영상,혜택강조형,파스텔,8,206,47,28612,1067,3.73,1077,54,361308,71,7.0,B
2023-03-18,캠페인_D,Naver,카드뉴스,감성소구형,어두움,2,23,0,115349,3472,3.01,2878,217,1728584,137,9.8,B
2023-03-19,캠페인_G,TikTok,스토리,유머형,비비드,14,210,0,801,52,6.49,31,3,66111,0,9.3,B
2023-03-19,캠페인_H,Facebook,동영상,정보제공형,어두움,6,22,24,116864,1250,1.07,5643,502,1128489,51,3.2,B
2023-03-19,캠페인_J,TikTok,배너,정보제공형,밝음,8,263,0,96515,2746,2.85,2762,164,1516014,215,4.4,B
2023-03-21,캠페인_D,Naver,이미지,혜택강조형,파스텔,11,209,0,86492,2679,3.1,3907,423,1086495,233,3.7,B
2023-03-21,캠페인_N,Naver,이미지,긴급성강조형,어두움,1,133,0,94876,2982,3.14,478,41,1011627,222,6.4,C
2023-03-22,캠페인_N,Naver,릴스,유머형,비비드,3,240,91,151375,4378,2.89,8067,744,2859477,82,2.8,A
2023-03-22,캠페인_E,YouTube,배너,감성소구형,파스텔,8,79,0,163396,9740,5.96,1932,213,2205972,208,4.7,A
2023-03-23,캠페인_C,Facebook,동영상,정보제공형,파스텔,12,238,103,61689,1034,1.68,2223,135,1423339,47,6.0,B
2023-03-23,캠페인_S,Naver,이미지,혜택강조형,어두움,0,176,0,82906,2511,3.03,3067,258,1446802,27,4.7,A
2023-03-23,캠페인_L,KakaoTalk,카드뉴스,유머형,모노톤,11,129,0,109619,5392,4.92,5232,122,2023004,308,7.1,B
2023-03-23,캠페인_M,Naver,배너,유머형,비비드,8,257,0,75123,4393,5.85,3588,120,1600271,164,2.2,A
2023-03-24,캠페인_N,Instagram,이미지,유머형,밝음,13,24,0,23538,1024,4.35,391,39,2190895,97,7.9,A
2023-03-25,캠페인_B,YouTube,카드뉴스,유머형,어두움,4,250,0,33845,728,2.15,1014,78,2955133,51,8.6,B
2023-03-25,캠페인_E,KakaoTalk,릴스,정보제공형,모노톤,13,171,68,185181,6459,3.49,6333,549,722576,607,3.5,B
2023-03-25,캠페인_H,Facebook,스토리,긴급성강조형,어두움,13,249,0,157317,6942,4.41,5793,128,1309699,117,6.1,C
2023-03-26,캠페인_H,Instagram,카드뉴스,감성소구형,밝음,13,160,0,16035,663,4.13,206,18,1189219,9,6.5,B
2023-03-26,캠페인_M,YouTube,배너,혜택강조형,모노톤,8,97,0,138488,2266,1.64,5865,185,2400778,124,9.9,C
2023-03-27,캠페인_H,Naver,카드뉴스,혜택강조형,밝음,8,239,0,46558,2300,4.94,1313,143,2755932,70,7.0,C
2023-03-27,캠페인_I,TikTok,스토리,혜택강조형,밝음,7,22,0,63355,1203,1.9,3228,186,1465921,97,5.2,B
2023-03-27,캠페인_E,KakaoTalk,릴스,유머형,모노톤,12,60,32,110338,4940,4.48,4545,164,1002222,329,7.9,A
2023-03-27,캠페인_M,YouTube,스토리,정보제공형,모노톤,1,109,0,169292,8237,4.87,5091,121,1593559,387,6.4,A
2023-03-27,캠페인_J,Facebook,릴스,긴급성강조형,파스텔,6,225,114,8474,348,4.11,481,54,665633,29,4.7,B
2023-03-28,캠페인_H,Naver,이미지,긴급성강조형,비비드,4,27,0,132680,3966,2.99,4108,452,425514,358,8.0,B
