날짜,플랫폼,캠페인명,광고목표,광고형식,업종,지역,연령대,성별,광고비(원),노출수,도달수,클릭수,CTR(%),CPC(원),CPM(원),전환수,전환가치(원),ROAS(%),좋아요,댓글,공유,저장
2023-01-03,KakaoTalk,캠페인_E,동영상조회,배너,교육,서울,25-34,여성,4538689,6314882,4050998,140431,2.22,32,719,8683,120728432,2660.0,200311,19301,14914,16521
2023-01-03,Instagram,캠페인_S,앱설치,배너,전자기기,인천,25-34,여성,590526,1131691,859397,25552,2.26,23,522,914,26890794,4553.7,29525,3334,2225,3415
2023-01-03,Naver,캠페인_N,리드수집,동영상,패션/의류,광주,45-54,전체,3696098,3176294,2018561,47429,1.49,78,1164,3494,128645586,3480.6,71086,6114,5465,5995
2023-01-03,YouTube,캠페인_J,동영상조회,스토리,패션/의류,경기,25-34,여성,1194127,2022307,1374964,14663,0.73,81,590,294,28571214,2392.6,67814,8609,6581,8292
2023-01-03,KakaoTalk,캠페인_B,동영상조회,동영상,금융,제주,45-54,전체,1230206,685995,541680,16832,2.45,73,1793,377,3548324,288.4,5666,825,475,492
2023-01-04,Naver,캠페인_P,리드수집,배너,게임,서울,35-44,남성,2905442,3485907,2337685,42729,1.23,68,833,1348,139318496,4795.1,55703,2248,5290,7071
2023-01-04,KakaoTalk,캠페인_H,동영상조회,릴스,교육,인천,18-24,전체,290475,296548,208768,7267,2.45,40,980,366,22023318,7581.8,5213,356,327,697
2023-01-04,YouTube,캠페인_R,트래픽,배너,여행,인천,25-34,전체,3125633,5339932,4851808,47046,0.88,66,585,645,36519900,1168.4,71690,7011,4064,6473
2023-01-05,Naver,캠페인_N,리드수집,스토리,전자기기,대구,18-24,전체,264943,393215,302051,9512,2.42,28,674,479,30894542,11660.8,14841,933,913,1463
2023-01-05,Facebook,캠페인_I,트래픽,스토리,패션/의류,대구,18-24,여성,405953,327889,230061,4999,1.52,81,1238,194,4666864,1149.6,8280,418,734,1269
2023-01-05,Facebook,캠페인_P,트래픽,릴스,전자기기,제주,25-34,남성,3222850,6316886,3857605,172721,2.73,19,510,9241,692252551,21479.5,126335,6948,8899,7780
2023-01-05,KakaoTalk,캠페인_K,앱설치,동영상,게임,대구,25-34,남성,1793708,1907807,1761344,43125,2.26,42,940,1305,158549670,8839.2,105133,15498,6003,6161
2023-01-05,YouTube,캠페인_N,인지도,동영상,금융,서울,55+,여성,3410301,4933935,3263043,71376,1.45,48,691,1377,149566986,4385.7,91359,10056,5715,8779
2023-01-05,Naver,캠페인_G,전환,카드뉴스,금융,대구,55+,여성,515712,942864,865570,20512,2.18,25,547,1396,146161200,28341.6,21582,2915,826,1320
2023-01-06,KakaoTalk,캠페인_Q,트래픽,배너,식품/음료,제주,55+,여성,3430267,3273037,2213447,50699,1.55,68,1048,2945,78183860,2279.2,120862,14405,8126,21187
2023-01-06,YouTube,캠페인_K,동영상조회,스토리,패션/의류,광주,45-54,전체,1827965,1784990,1575130,13533,0.76,135,1024,249,14648919,801.4,90646,8558,8117,12004
2023-01-07,YouTube,캠페인_G,전환,스토리,게임,부산,25-34,남성,2931474,2352352,1487883,29392,1.25,100,1246,182,23084516,787.5,33261,3674,1045,2429
2023-01-07,Instagram,캠페인_Q,인지도,배너,식품/음료,서울,18-24,여성,2411753,3288317,2857121,118894,3.62,20,733,5876,270166728,11202.1,136890,11416,11275,17285
2023-01-07,YouTube,캠페인_J,전환,동영상,금융,경기,25-34,남성,1868466,1281917,1170040,6833,0.53,273,1458,125,11971125,640.7,36713,2013,3524,6287
2023-01-07,Naver,캠페인_T,앱설치,동영상,뷰티/화장품,광주,25-34,전체,611453,1215891,873509,31433,2.59,19,503,1693,65012893,10632.5,28609,4261,1730,2763
2023-01-07,TikTok,캠페인_M,트래픽,릴스,게임,제주,55+,남성,2829692,3036738,2553951,168440,5.55,17,932,6110,494848900,17487.7,93752,4309,5229,17229
2023-01-07,KakaoTalk,캠페인_O,트래픽,스토리,뷰티/화장품,대전,25-34,전체,307017,394366,325813,6274,1.59,49,779,382,40739536,13269.5,18340,813,579,2175
2023-01-07,Naver,캠페인_G,전환,릴스,금융,인천,35-44,전체,3524576,5170057,3655067,63277,1.22,56,682,1599,231205806,6559.8,231620,25577,15627,38862
2023-01-07,YouTube,캠페인_H,전환,동영상,뷰티/화장품,인천,45-54,남성,2469435,4554803,3348254,31751,0.7,78,542,247,17294693,700.4,78742,4133,5618,14614
2023-01-07,Facebook,캠페인_D,전환,카드뉴스,여행,광주,25-34,전체,3825235,5682647,3433638,154704,2.72,25,673,9338,1142018724,29854.9,65396,4445,3237,10217
2023-01-08,Naver,캠페인_F,리드수집,배너,패션/의류,인천,35-44,전체,3434106,6624368,6272907,152756,2.31,22,518,11258,1369963504,39892.9,325466,37133,24803,49067
2023-01-08,KakaoTalk,캠페인_L,트래픽,릴스,금융,대구,35-44,남성,1132569,747235,623654,9348,1.25,121,1516,417,36704340,3240.8,46387,2405,4363,2806
2023-01-08,KakaoTalk,캠페인_Q,트래픽,이미지,전자기기,인천,55+,전체,4081143,6381821,4518458,118286,1.85,35,639,4278,93529914,2291.8,118411,4778,4413,22419
2023-01-08,Naver,캠페인_O,인지도,스토리,교육,인천,35-44,여성,650573,506087,380101,4608,0.91,141,1285,345,10225110,1571.7,18713,1778,1752,1577
2023-01-08,Instagram,캠페인_F,인지도,이미지,식품/음료,경기,55+,전체,4981029,6929368,4258904,220187,3.18,23,719,2470,307841040,6180.3,211620,10381,6329,31210
2023-01-08,YouTube,캠페인_N,인지도,릴스,게임,경기,18-24,남성,3863360,7201144,5480113,104309,1.45,37,536,1775,177702350,4599.7,115124,12155,4159,19214
2023-01-08,YouTube,캠페인_J,인지도,배너,금융,서울,35-44,남성,1089631,2138074,1489607,11612,0.54,94,510,105,6354705,583.2,112184,16412,6580,6412
2023-01-08,Naver,캠페인_C,동영상조회,카드뉴스,전자기기,제주,18-24,전체,4317439,5371295,4804177,53546,1.0,81,804,2451,99042459,2294.0,123705,8834,5766,16984
2023-01-08,Facebook,캠페인_B,동영상조회,이미지,여행,부산,35-44,여성,2457247,1832478,1187493,55628,3.04,44,1341,2282,43088724,1753.5,75311,9821,2977,8846
2023-01-09,TikTok,캠페인_T,전환,배너,여행,경기,35-44,여성,1694376,3147613,2193339,102786,3.27,16,538,1955,164585585,9713.6,110745,12583,7310,6893
2023-01-09,TikTok,캠페인_Q,동영상조회,동영상,뷰티/화장품,대구,35-44,남성,3118127,1789799,1359368,36184,2.02,86,1742,817,97008129,3111.1,107128,14642,8842,11906
2023-01-09,KakaoTalk,캠페인_S,트래픽,이미지,금융,대구,35-44,여성,2790105,4077071,2526628,131363,3.22,21,684,4025,350718375,12570.1,90198,6691,5252,10424
2023-01-10,Facebook,캠페인_E,인지도,카드뉴스,금융,인천,45-54,전체,783916,764532,535815,16933,2.21,46,1025,494,31252910,3986.8,7953,584,538,1245
2023-01-10,Instagram,캠페인_F,전환,스토리,식품/음료,경기,25-34,여성,187596,197087,134498,6620,3.36,28,952,260,19069960,10165.4,10282,843,716,2026
2023-01-10,Instagram,캠페인_T,인지도,이미지,식품/음료,부산,25-34,전체,4453618,4243908,3956851,96599,2.28,46,1049,1826,122798500,2757.3,256569,10497,16235,26829
2023-01-10,TikTok,캠페인_D,앱설치,카드뉴스,여행,서울,55+,여성,3493857,5251695,4611044,216353,4.12,16,665,4824,231354216,6621.7,283883,36613,19039,39412
2023-01-10,Instagram,캠페인_L,트래픽,동영상,뷰티/화장품,부산,55+,여성,2654264,2588853,2142636,88391,3.41,30,1025,1030,101771210,3834.3,64737,9483,1589,5289
2023-01-10,TikTok,캠페인_N,전환,카드뉴스,뷰티/화장품,대전,45-54,여성,676052,1038402,653669,49724,4.79,14,651,728,35795032,5294.7,7696,506,503,833
2023-01-10,KakaoTalk,캠페인_J,리드수집,이미지,패션/의류,대구,35-44,여성,4837614,6347802,4987085,216955,3.42,22,762,8804,351631760,7268.7,167498,6996,4858,25268
2023-01-10,YouTube,캠페인_H,트래픽,동영상,뷰티/화장품,대전,25-34,남성,1525745,1343348,1131289,11902,0.89,128,1136,124,4844928,317.5,61795,7430,3568,5490
2023-01-10,Naver,캠페인_T,앱설치,이미지,교육,경기,45-54,전체,4832085,4502944,3043519,43823,0.97,110,1073,2607,381424956,7893.6,233485,34577,11111,15201
2023-01-11,Facebook,캠페인_S,리드수집,동영상,교육,인천,35-44,여성,339906,500114,378968,9916,1.98,34,680,242,29455998,8665.9,21703,2571,683,2041
2023-01-11,KakaoTalk,캠페인_L,리드수집,배너,금융,경기,45-54,여성,2806324,1406987,889207,45751,3.25,61,1995,1812,127309308,4536.5,60248,7847,4307,8188
2023-01-11,Naver,캠페인_K,인지도,스토리,전자기기,제주,25-34,전체,800636,858517,802845,16355,1.91,49,933,536,19162536,2393.4,38841,4971,1579,4922
2023-01-11,TikTok,캠페인_R,리드수집,이미지,교육,경기,45-54,전체,389340,412121,324667,10199,2.47,38,945,271,11639450,2989.5,20980,859,840,3551
2023-01-11,YouTube,캠페인_P,인지도,배너,전자기기,인천,45-54,전체,527279,392818,368489,6240,1.59,84,1342,50,4620900,876.4,20745,2979,1429,2471
2023-01-12,Facebook,캠페인_D,앱설치,카드뉴스,여행,광주,55+,남성,2672985,3767402,2321983,98332,2.61,27,710,2740,352232480,13177.5,144133,5512,8632,25215
2023-01-12,Instagram,캠페인_I,트래픽,동영상,뷰티/화장품,서울,25-34,남성,260485,325463,254005,12284,3.77,21,800,434,45754016,17564.9,19243,2639,1452,1624
2023-01-12,Facebook,캠페인_B,동영상조회,릴스,여행,부산,35-44,남성,1681888,2688306,2178147,47526,1.77,35,626,3039,92209338,5482.5,144869,10869,5937,24432
2023-01-12,KakaoTalk,캠페인_S,전환,배너,금융,대구,45-54,전체,1885924,1550781,1454409,32563,2.1,58,1216,1562,64107604,3399.3,90551,3998,6748,10876
2023-01-12,Naver,캠페인_K,트래픽,스토리,게임,인천,35-44,전체,1895922,1365384,838106,34939,2.56,54,1389,1697,90643558,4781.0,8619,783,198,1720
2023-01-12,Naver,캠페인_M,트래픽,카드뉴스,전자기기,대구,55+,여성,224218,239723,218615,3389,1.41,66,935,200,29256200,13048.1,15394,1045,602,2097
2023-01-12,TikTok,캠페인_M,트래픽,배너,식품/음료,부산,45-54,남성,3598393,5577195,3749929,240432,4.31,15,645,5314,326688778,9078.7,94981,11358,2042,10571
2023-01-12,TikTok,캠페인_H,리드수집,이미지,전자기기,대전,25-34,여성,364031,218098,206584,11759,5.39,31,1669,390,30716010,8437.7,2096,204,200,235
2023-01-12,TikTok,캠페인_D,전환,카드뉴스,여행,광주,35-44,여성,3271110,3755385,3171277,111685,2.97,29,871,1580,15575640,476.2,221642,11012,10642,12331
2023-01-12,Facebook,캠페인_Q,인지도,동영상,게임,서울,18-24,남성,3434786,4583043,3553086,114698,2.5,30,749,4252,47095152,1371.1,156290,16001,4005,30378
2023-01-12,Instagram,캠페인_B,앱설치,카드뉴스,식품/음료,대전,35-44,전체,3922448,2713340,1893377,79451,2.93,49,1446,2272,23242560,592.6,53482,2546,3994,8957
2023-01-12,Naver,캠페인_S,동영상조회,이미지,전자기기,대전,45-54,전체,1961707,2236784,2110031,36038,1.61,54,877,2301,64075947,3266.3,131382,7902,12332,15789
2023-01-12,KakaoTalk,캠페인_O,전환,스토리,게임,대전,25-34,여성,2631917,5187849,3903080,168048,3.24,16,507,6848,888356800,33753.2,200230,12071,5890,17048
2023-01-13,KakaoTalk,캠페인_S,인지도,릴스,게임,광주,18-24,여성,4974864,3811943,3617201,84922,2.23,59,1305,5396,809173368,16265.2,116421,13108,7281,6616
2023-01-13,YouTube,캠페인_A,전환,카드뉴스,게임,경기,35-44,남성,1409023,2700458,2354953,28944,1.07,49,522,573,4730688,335.7,164902,12140,8052,28829
2023-01-13,Instagram,캠페인_G,리드수집,스토리,금융,경기,25-34,여성,4667096,4687694,4343540,155862,3.32,30,996,4086,514684818,11027.9,256910,36579,6141,51215
2023-01-13,KakaoTalk,캠페인_P,트래픽,스토리,금융,제주,25-34,남성,1022565,1432843,1034038,30933,2.16,33,714,1485,14405985,1408.8,45576,1979,1669,5852
2023-01-13,Instagram,캠페인_I,인지도,릴스,전자기기,광주,35-44,남성,3416945,5794857,4192779,182721,3.15,19,590,6790,632060730,18497.8,132990,5242,9712,13888
2023-01-13,Instagram,캠페인_M,전환,카드뉴스,전자기기,제주,45-54,여성,2137253,1303082,837203,21748,1.67,98,1640,1138,89932726,4207.9,20620,2353,941,1568
2023-01-13,KakaoTalk,캠페인_P,동영상조회,릴스,패션/의류,인천,55+,남성,1757602,1682511,1098128,17233,1.02,102,1045,531,43489431,2474.4,19110,2071,1673,1155
2023-01-13,TikTok,캠페인_T,전환,스토리,금융,서울,25-34,전체,763504,1471501,1189234,71568,4.86,11,519,1443,192656373,25233.2,85871,11737,3114,16847
2023-01-13,TikTok,캠페인_I,리드수집,릴스,뷰티/화장품,제주,25-34,전체,415809,225009,197463,4260,1.89,98,1848,47,2659448,639.6,9218,525,429,1095
2023-01-14,KakaoTalk,캠페인_L,트래픽,동영상,식품/음료,대구,25-34,남성,404235,773876,721704,14129,1.83,29,522,422,26906298,6656.1,16226,1179,405,3174
2023-01-14,Instagram,캠페인_F,인지도,배너,여행,제주,25-34,전체,3803795,7130859,6452859,142671,2.0,27,533,2936,351859048,9250.2,230578,32816,14968,38490
2023-01-14,Naver,캠페인_O,전환,배너,식품/음료,부산,35-44,여성,166888,176506,133384,4562,2.58,37,946,360,45298080,27142.8,7546,485,231,544
2023-01-14,KakaoTalk,캠페인_K,전환,이미지,교육,대구,18-24,남성,3159305,2545605,1989835,68552,2.69,46,1241,3406,249676830,7902.9,137274,6436,8482,17761
2023-01-14,TikTok,캠페인_D,전환,배너,게임,경기,45-54,여성,100184,89451,74822,2850,3.19,35,1120,98,13303598,13279.2,2713,246,155,446
2023-01-14,TikTok,캠페인_K,전환,동영상,식품/음료,대전,35-44,여성,1681994,977740,769539,19550,2.0,86,1720,674,47739420,2838.3,57690,8123,2804,10866
2023-01-15,Naver,캠페인_L,앱설치,카드뉴스,뷰티/화장품,대구,45-54,여성,280876,158377,139385,4249,2.68,66,1773,156,4996056,1778.7,8464,451,409,886
2023-01-15,Facebook,캠페인_C,트래픽,이미지,여행,제주,55+,전체,2422094,2382645,1961832,74906,3.14,32,1017,2524,112552732,4646.9,116913,10568,6435,9209
2023-01-15,YouTube,캠페인_N,인지도,릴스,금융,대구,25-34,여성,1301487,1164579,749084,14279,1.23,91,1118,152,15934008,1224.3,47300,1703,1788,9388
2023-01-15,YouTube,캠페인_E,동영상조회,스토리,교육,서울,35-44,여성,1626555,1235386,828560,17417,1.41,93,1317,120,1418280,87.2,62473,2278,1945,7398
2023-01-15,YouTube,캠페인_O,전환,스토리,전자기기,대전,18-24,남성,3064147,2289045,1437861,16941,0.74,181,1339,151,15531105,506.9,95291,12928,3370,18947
2023-01-15,Instagram,캠페인_Q,트래픽,카드뉴스,여행,부산,35-44,여성,693948,1011014,824241,17319,1.71,40,686,564,14560224,2098.2,44618,4010,1100,3335
2023-01-16,KakaoTalk,캠페인_Q,앱설치,이미지,식품/음료,인천,25-34,전체,1746302,1575532,1368513,52635,3.34,33,1108,1007,143558927,8220.7,96996,3436,3652,9033
2023-01-16,KakaoTalk,캠페인_S,인지도,동영상,식품/음료,광주,35-44,남성,4059507,6598773,5964602,186369,2.82,22,615,10287,1365259779,33631.2,198453,13170,11791,12146
2023-01-16,YouTube,캠페인_Q,리드수집,카드뉴스,교육,대구,25-34,남성,1316170,1682798,1338344,11171,0.66,118,782,191,4409617,335.0,87570,3872,3793,8676
2023-01-16,Facebook,캠페인_P,리드수집,릴스,식품/음료,서울,55+,남성,4532571,5526775,3574007,110600,2.0,41,820,2577,72403392,1597.4,161782,14154,10442,24159
2023-01-16,KakaoTalk,캠페인_P,동영상조회,동영상,패션/의류,인천,35-44,남성,2759825,3282338,2314217,71822,2.19,38,841,2443,150679354,5459.7,183415,23374,16796,26370
2023-01-17,Naver,캠페인_E,앱설치,이미지,교육,인천,55+,전체,4285412,3055294,2283485,41992,1.37,102,1403,3053,90799273,2118.8,98889,6722,5554,6929
2023-01-17,Naver,캠페인_P,리드수집,스토리,패션/의류,제주,18-24,남성,994889,1912006,1582837,36137,1.89,28,520,2866,290400316,29189.2,20304,1761,1481,2512
2023-01-17,KakaoTalk,캠페인_C,트래픽,릴스,뷰티/화장품,인천,18-24,여성,4946042,4529393,3553821,97736,2.16,51,1092,2501,370983334,7500.6,64690,6751,5947,7628
2023-01-17,Naver,캠페인_D,트래픽,릴스,여행,광주,45-54,전체,80089,59037,53888,1251,2.12,64,1357,66,5445396,6799.2,3116,248,154,197
2023-01-17,Facebook,캠페인_O,트래픽,릴스,전자기기,대전,25-34,남성,4246246,5150001,4781918,53696,1.04,79,825,2872,230805408,5435.5,87927,6935,8641,12531
2023-01-17,Facebook,캠페인_T,리드수집,카드뉴스,여행,대구,55+,전체,565690,861291,652458,23569,2.74,24,657,510,41632830,7359.7,7905,753,675,932
2023-01-17,Instagram,캠페인_H,동영상조회,카드뉴스,게임,대전,35-44,여성,1299267,1699748,1259525,23518,1.38,55,764,664,79979464,6155.7,27799,2148,793,2213
2023-01-17,TikTok,캠페인_O,동영상조회,스토리,게임,대구,35-44,전체,508248,420002,310915,13426,3.2,38,1210,121,4691412,923.1,21215,1279,772,1411
2023-01-17,YouTube,캠페인_A,인지도,동영상,게임,부산,35-44,남성,3674320,2691512,2343143,30132,1.12,122,1365,484,33794816,919.8,180401,20640,9823,31277
2023-01-17,Instagram,캠페인_H,트래픽,스토리,전자기기,대구,18-24,전체,995541,880838,623348,13242,1.5,75,1130,649,69125639,6943.5,31506,2347,1784,3585
2023-01-17,KakaoTalk,캠페인_F,앱설치,릴스,패션/의류,서울,45-54,남성,1057193,2078515,1302612,69992,3.37,15,509,4458,268340394,25382.3,19028,1150,1349,3693
2023-01-17,Facebook,캠페인_I,인지도,이미지,금융,대구,35-44,여성,3780752,3977752,3175735,123066,3.09,31,950,3083,360590763,9537.5,83586,5844,6349,6614
2023-01-18,Naver,캠페인_D,리드수집,스토리,패션/의류,광주,25-34,여성,1596215,1596742,1248179,14861,0.93,107,1000,822,28489698,1784.8,47231,3965,2448,4930
2023-01-18,Instagram,캠페인_M,앱설치,릴스,식품/음료,인천,35-44,남성,2056331,2213445,1948736,32868,1.48,63,929,859,11702157,569.1,102926,8865,8594,12244
2023-01-18,YouTube,캠페인_D,동영상조회,배너,전자기기,대전,18-24,전체,2765313,4280357,3814306,29636,0.69,93,646,265,21103540,763.2,249800,19765,18552,42948
2023-01-19,Instagram,캠페인_K,동영상조회,배너,게임,광주,55+,남성,501616,265874,188727,4785,1.8,105,1887,167,5858360,1167.9,2998,435,202,170
2023-01-19,TikTok,캠페인_P,트래픽,릴스,식품/음료,대전,35-44,전체,3059660,5082745,3602338,135116,2.66,23,602,1627,190285785,6219.2,257273,31129,21024,30773
2023-01-19,Facebook,캠페인_E,트래픽,동영상,금융,서울,25-34,남성,3779399,5835436,5319578,122224,2.09,31,648,7469,248291967,6569.6,279610,38395,24772,44501
2023-01-19,Naver,캠페인_M,동영상조회,릴스,교육,서울,45-54,남성,847844,1296536,1113814,27885,2.15,30,654,2189,27174246,3205.1,52550,6506,1958,8849
2023-01-19,TikTok,캠페인_G,앱설치,릴스,금융,부산,35-44,여성,3405415,4428798,2789068,198588,4.48,17,769,1614,177596490,5215.1,185870,13237,5444,11700
2023-01-19,Facebook,캠페인_O,트래픽,스토리,여행,서울,18-24,전체,4551696,3553218,2387602,49337,1.39,92,1281,2523,215133687,4726.5,188200,15716,5218,20491
2023-01-19,TikTok,캠페인_G,전환,이미지,뷰티/화장품,광주,55+,여성,1502002,897775,792347,24004,2.67,63,1673,458,31363382,2088.1,45915,5223,4504,8682
2023-01-19,Naver,캠페인_T,리드수집,동영상,게임,서울,25-34,여성,1180744,1012512,693056,9904,0.98,119,1166,523,29237792,2476.2,32250,3152,2109,6441
2023-01-19,TikTok,캠페인_Q,인지도,카드뉴스,교육,제주,35-44,전체,1312776,1969545,1190669,93189,4.73,14,667,2793,122056893,9297.6,78842,4866,3905,8764
2023-01-19,Facebook,캠페인_I,전환,동영상,전자기기,부산,18-24,남성,255468,264450,240700,2726,1.03,94,966,133,6530699,2556.4,12763,1335,667,1100
2023-01-19,Naver,캠페인_A,인지도,동영상,금융,대구,18-24,여성,1978761,2736399,1903329,29576,1.08,67,723,1571,214408509,10835.5,150807,17483,12701,20178
2023-01-20,KakaoTalk,캠페인_J,리드수집,배너,전자기기,광주,25-34,남성,2126020,3788145,3077546,77257,2.04,28,561,1911,246201774,11580.4,205721,29814,6637,20819
2023-01-20,Instagram,캠페인_T,동영상조회,동영상,전자기기,서울,45-54,여성,3675528,2214811,1873076,30212,1.36,122,1660,784,93307760,2538.6,99081,12103,7810,5776
2023-01-20,Naver,캠페인_C,앱설치,이미지,식품/음료,대전,45-54,여성,3256426,4998034,4393516,48558,0.97,67,652,2588,172886164,5309.1,257383,35754,14158,33121
2023-01-20,YouTube,캠페인_L,리드수집,릴스,교육,대구,55+,전체,692147,365128,244526,1654,0.45,418,1896,36,696852,100.7,4704,194,138,708
2023-01-20,TikTok,캠페인_M,앱설치,동영상,전자기기,제주,35-44,여성,3524551,4388524,2806622,203573,4.64,17,803,2579,382653967,10856.8,35653,3848,2021,2762
2023-01-20,KakaoTalk,캠페인_D,트래픽,이미지,게임,인천,55+,전체,741616,696728,494547,20732,2.98,36,1064,1168,6115648,824.6,31702,4497,2752,2355
2023-01-20,Naver,캠페인_G,앱설치,이미지,패션/의류,대구,25-34,전체,2466836,2107792,1647188,24186,1.15,102,1170,441,8796186,356.6,121252,12030,2584,14706
2023-01-20,Naver,캠페인_J,트래픽,카드뉴스,식품/음료,대전,45-54,전체,2459712,4511805,2813866,44233,0.98,56,545,2938,29033316,1180.4,93265,6789,7894,5056
2023-01-21,KakaoTalk,캠페인_C,리드수집,카드뉴스,전자기기,대구,18-24,여성,4199277,6907511,4176252,114137,1.65,37,608,7023,646930668,15405.8,279964,41464,24806,46531
2023-01-21,Instagram,캠페인_T,리드수집,동영상,전자기기,광주,35-44,여성,1481360,2443079,2091817,91851,3.76,16,606,3122,123353342,8327.0,67770,3832,2776,5968
2023-01-21,Instagram,캠페인_K,리드수집,배너,식품/음료,대구,45-54,전체,3474833,3977492,3649471,129184,3.25,27,874,5949,293487966,8446.1,95990,6693,6365,18654
2023-01-21,TikTok,캠페인_N,인지도,릴스,식품/음료,서울,35-44,여성,800105,1412555,1213517,27722,1.96,29,566,270,5114340,639.2,33077,4516,1166,4481
2023-01-21,Instagram,캠페인_L,앱설치,배너,식품/음료,제주,35-44,전체,4688491,7764017,6413603,177316,2.28,26,604,9425,1097588375,23410.3,253941,33777,22143,13045
2023-01-21,Facebook,캠페인_H,리드수집,릴스,게임,경기,45-54,남성,547515,559152,357537,14689,2.63,37,979,895,32398105,5917.3,17205,694,1064,3140
2023-01-21,TikTok,캠페인_O,동영상조회,동영상,전자기기,제주,25-34,전체,389310,711619,495418,38809,5.45,10,547,1342,87040778,22357.7,34957,2921,2296,5075
2023-01-21,YouTube,캠페인_P,전환,스토리,패션/의류,제주,35-44,여성,3334793,3340533,3140975,34223,1.02,97,998,198,9311742,279.2,246494,36316,17379,18510
2023-01-22,YouTube,캠페인_E,트래픽,카드뉴스,패션/의류,대구,25-34,남성,1411325,1317848,923790,14449,1.1,98,1071,230,22632000,1603.6,34926,1398,3457,4980
2023-01-22,Instagram,캠페인_C,리드수집,이미지,식품/음료,경기,55+,남성,4337008,6582428,5518755,87924,1.34,49,659,1529,211159487,4868.8,255132,9719,12175,30273
2023-01-22,Naver,캠페인_A,트래픽,릴스,패션/의류,광주,18-24,전체,151856,123459,107272,2375,1.92,64,1230,189,19975410,13154.2,6450,254,199,487
2023-01-22,KakaoTalk,캠페인_G,전환,카드뉴스,식품/음료,대구,25-34,여성,2486691,2863851,1908591,35127,1.23,71,868,1270,6894830,277.3,74283,6353,1847,14021
