날짜,플랫폼,캠페인명,연령대,성별,지역,관심사,기기,신규여부,노출수,클릭수,전환수,광고비(원),체류시간(초),페이지뷰,이탈률(%)
2023-01-09,YouTube,캠페인_D,45-54,남성,서울,여행,PC,재방문,44404,1336,44,937495,292,3924,32.4
2023-01-09,Naver,캠페인_I,45-54,남성,대구,육아,모바일,재방문,40768,1610,125,235937,161,3389,80.4
2023-01-09,TikTok,캠페인_E,18-24,남성,인천,여행,모바일,재방문,21902,1155,111,712577,209,1708,56.0
2023-01-10,Naver,캠페인_D,18-24,여성,대구,운동/헬스,모바일,재방문,34832,1695,50,867578,164,3863,43.0
2023-01-10,TikTok,캠페인_B,45-54,여성,광주,육아,PC,재방문,18848,850,87,671629,71,2664,24.0
2023-01-10,YouTube,캠페인_M,55+,남성,대구,뷰티,PC,신규,39683,1074,121,459823,234,3221,65.8
2023-01-11,TikTok,캠페인_G,18-24,남성,대구,반려동물,모바일,재방문,36485,1019,33,262092,145,1561,30.7
2023-01-11,Facebook,캠페인_D,18-24,남성,인천,운동/헬스,모바일,신규,10491,120,8,59001,287,188,22.2
2023-01-11,Naver,캠페인_D,35-44,남성,제주,자동차,모바일,신규,35295,842,76,26693,281,3618,49.5
2023-01-11,Facebook,캠페인_H,45-54,남성,대전,게임,태블릿,재방문,45936,260,19,890043,110,1064,82.1
2023-01-12,Instagram,캠페인_O,25-34,남성,부산,뷰티,모바일,재방문,47161,571,64,79608,281,1312,68.0
2023-01-12,KakaoTalk,캠페인_I,18-24,여성,광주,반려동물,PC,신규,30535,1734,86,853291,7,5386,33.6
2023-01-13,YouTube,캠페인_O,25-34,여성,부산,육아,모바일,재방문,36318,854,90,501152,182,2420,74.3
2023-01-13,KakaoTalk,캠페인_Q,55+,여성,부산,운동/헬스,모바일,신규,10223,502,10,301221,287,1034,24.6
2023-01-13,Instagram,캠페인_D,35-44,남성,제주,육아,PC,재방문,13042,166,15,297665,145,560,48.4
2023-01-13,Instagram,캠페인_O,45-54,여성,경기,음식,태블릿,신규,41242,724,63,728210,37,1754,83.5
2023-01-13,TikTok,캠페인_P,45-54,남성,인천,패션,모바일,재방문,43054,357,12,144753,95,564,80.0
2023-01-13,Facebook,캠페인_D,55+,여성,서울,게임,모바일,재방문,12340,100,7,949510,184,137,75.4
2023-01-14,Naver,캠페인_O,35-44,여성,대전,육아,태블릿,재방문,14541,602,61,202322,39,2043,52.9
2023-01-14,YouTube,캠페인_H,55+,여성,서울,게임,태블릿,신규,39617,1419,28,615024,252,2487,83.6
2023-01-14,Instagram,캠페인_I,18-24,여성,광주,여행,모바일,신규,31862,1386,48,566871,73,5269,66.9
2023-01-14,Instagram,캠페인_B,18-24,여성,부산,뷰티,모바일,신규,40444,937,76,455767,117,3453,62.3
2023-01-14,KakaoTalk,캠페인_F,18-24,여성,대구,여행,PC,신규,26227,877,97,917299,109,2772,61.7
2023-01-14,Facebook,캠페인_N,25-34,남성,인천,운동/헬스,모바일,재방문,46038,2167,43,908391,92,6234,35.3
2023-01-14,KakaoTalk,캠페인_S,45-54,여성,광주,뷰티,모바일,재방문,20695,114,13,446571,76,422,39.5
2023-01-14,Facebook,캠페인_K,45-54,여성,서울,재테크,모바일,신규,28263,813,89,148246,144,3226,40.3
2023-01-14,Facebook,캠페인_T,55+,남성,제주,자동차,PC,재방문,34132,382,39,725906,191,686,78.6
2023-01-15,TikTok,캠페인_J,25-34,남성,서울,자동차,모바일,재방문,9498,246,12,141755,14,701,72.6
2023-01-15,Facebook,캠페인_S,45-54,여성,인천,육아,PC,재방문,5067,113,10,92293,121,133,20.4
2023-01-15,TikTok,캠페인_D,45-54,남성,대구,육아,모바일,재방문,39374,1182,116,366341,160,1891,83.8
2023-01-16,KakaoTalk,캠페인_K,25-34,남성,광주,여행,모바일,재방문,35015,1369,38,16961,193,4114,49.9
2023-01-16,TikTok,캠페인_A,55+,여성,광주,음식,모바일,재방문,688,39,3,440216,9,115,28.2
2023-01-17,KakaoTalk,캠페인_B,55+,남성,부산,게임,태블릿,재방문,27973,800,9,301464,297,3457,80.0
2023-01-17,KakaoTalk,캠페인_O,45-54,남성,경기,패션,PC,재방문,41575,1704,103,186467,209,4411,58.2
2023-01-17,TikTok,캠페인_N,35-44,남성,경기,게임,모바일,재방문,24251,250,24,412913,283,506,34.5
2023-01-17,YouTube,캠페인_C,35-44,남성,서울,자동차,PC,재방문,5969,213,10,989683,144,240,30.6
2023-01-18,YouTube,캠페인_P,35-44,여성,대구,게임,모바일,신규,11684,135,1,290678,41,484,69.3
2023-01-18,Naver,캠페인_B,55+,남성,대전,반려동물,모바일,재방문,7376,210,14,871406,298,819,57.0
2023-01-18,KakaoTalk,캠페인_K,45-54,여성,부산,운동/헬스,태블릿,신규,14179,258,15,344686,286,940,39.4
2023-01-18,Naver,캠페인_C,18-24,남성,대전,운동/헬스,모바일,재방문,39024,963,56,262883,190,2913,27.1
2023-01-18,YouTube,캠페인_K,25-34,여성,경기,운동/헬스,모바일,재방문,3407,133,15,836856,35,276,59.1
2023-01-18,TikTok,캠페인_P,18-24,남성,광주,여행,모바일,재방문,23039,289,7,435791,274,839,22.5
2023-01-18,Facebook,캠페인_S,35-44,여성,대구,게임,모바일,재방문,18593,415,49,324808,88,455,24.3
2023-01-18,Naver,캠페인_D,35-44,여성,부산,여행,모바일,재방문,12027,367,37,755866,142,1231,41.9
2023-01-18,YouTube,캠페인_S,55+,여성,인천,여행,모바일,신규,6702,347,9,927481,230,445,46.0
2023-01-18,Instagram,캠페인_E,35-44,남성,제주,재테크,모바일,신규,10885,285,24,90858,86,1224,37.8
2023-01-19,Naver,캠페인_B,45-54,여성,광주,자동차,모바일,재방문,18982,1042,51,902122,17,2682,39.8
2023-01-20,Instagram,캠페인_R,45-54,여성,광주,여행,모바일,재방문,23489,920,30,95744,210,3695,80.2
2023-01-20,Naver,캠페인_C,55+,여성,광주,반려동물,모바일,재방문,4729,29,3,894493,14,41,27.4
2023-01-20,Naver,캠페인_T,45-54,여성,경기,운동/헬스,모바일,재방문,36249,1116,17,636457,67,1810,83.0
2023-01-21,Naver,캠페인_M,55+,남성,서울,반려동물,모바일,재방문,9713,332,23,944541,247,1271,33.3
2023-01-21,Instagram,캠페인_N,55+,여성,대구,재테크,모바일,재방문,18332,1015,20,182717,87,3086,66.5
2023-01-21,Facebook,캠페인_H,45-54,여성,서울,운동/헬스,PC,재방문,7247,158,18,213121,81,318,54.0
2023-01-21,Facebook,캠페인_B,25-34,여성,인천,패션,모바일,재방문,38005,1820,21,900538,204,7480,72.3
2023-01-21,KakaoTalk,캠페인_I,18-24,여성,대전,여행,PC,재방문,20415,758,83,138830,99,1826,23.4
2023-01-21,KakaoTalk,캠페인_S,35-44,여성,경기,패션,모바일,신규,42644,1551,30,651252,279,1766,46.8
2023-01-22,KakaoTalk,캠페인_R,45-54,여성,서울,운동/헬스,모바일,재방문,13477,609,16,556626,56,2612,83.4
2023-01-22,Naver,캠페인_E,25-34,남성,경기,운동/헬스,모바일,재방문,44826,2269,57,267123,194,7589,22.3
2023-01-22,Facebook,캠페인_R,35-44,여성,경기,패션,모바일,재방문,40534,1838,156,291820,140,2943,72.7
2023-01-22,TikTok,캠페인_A,35-44,여성,서울,재테크,모바일,재방문,28048,1024,108,563459,18,2620,45.0
2023-01-22,YouTube,캠페인_S,45-54,여성,경기,뷰티,PC,재방문,15551,635,11,479099,31,1046,76.3
2023-01-22,YouTube,캠페인_P,55+,여성,부산,여행,모바일,재방문,17674,494,26,445594,248,1270,78.6
2023-01-23,YouTube,캠페인_E,18-24,남성,광주,여행,PC,재방문,1968,110,3,361491,122,278,46.6
2023-01-23,KakaoTalk,캠페인_L,25-34,남성,대전,게임,모바일,재방문,33851,1952,168,523730,278,8292,29.4
2023-01-23,YouTube,캠페인_G,55+,남성,경기,뷰티,태블릿,재방문,44005,1022,99,828940,8,2997,50.1
2023-01-24,KakaoTalk,캠페인_E,55+,남성,제주,음식,모바일,재방문,35354,1877,143,285576,68,3444,50.6
2023-01-25,KakaoTalk,캠페인_T,45-54,남성,인천,반려동물,모바일,재방문,10502,504,50,904492,207,1736,36.8
2023-01-25,YouTube,캠페인_D,45-54,여성,광주,자동차,모바일,신규,26071,563,21,806236,164,2102,47.7
2023-01-25,TikTok,캠페인_T,55+,여성,경기,패션,모바일,신규,36156,1525,92,14206,213,5500,60.4
2023-01-25,KakaoTalk,캠페인_C,18-24,여성,인천,반려동물,태블릿,신규,6266,325,38,106882,68,1090,52.3
2023-01-25,TikTok,캠페인_S,35-44,남성,제주,음식,모바일,신규,17750,398,21,712024,35,506,22.3
2023-01-25,TikTok,캠페인_N,45-54,여성,광주,패션,PC,재방문,42250,2397,236,829073,235,7504,24.2
2023-01-26,Facebook,캠페인_T,45-54,여성,서울,음식,모바일,재방문,6127,241,13,553813,21,467,21.0
2023-01-26,KakaoTalk,캠페인_M,45-54,여성,대전,뷰티,모바일,신규,27920,895,94,658072,161,3387,43.8
2023-01-26,YouTube,캠페인_F,18-24,여성,인천,자동차,PC,재방문,4917,75,6,319516,42,282,64.4
2023-01-26,Facebook,캠페인_B,25-34,남성,경기,음식,모바일,재방문,25317,1147,135,827798,157,2114,69.1
2023-01-27,Naver,캠페인_H,35-44,여성,대전,운동/헬스,PC,재방문,28741,1681,103,605054,57,5238,46.8
2023-01-27,YouTube,캠페인_R,18-24,남성,서울,게임,모바일,신규,15554,845,76,842885,217,2425,77.6
2023-01-27,Instagram,캠페인_G,55+,남성,서울,육아,모바일,재방문,34655,213,23,915275,18,229,33.9
2023-01-27,Naver,캠페인_I,25-34,남성,대전,자동차,모바일,재방문,37902,751,54,483226,163,1483,65.8
2023-01-27,YouTube,캠페인_M,45-54,남성,대전,자동차,모바일,재방문,18040,990,26,508106,190,2766,75.5
2023-01-27,TikTok,캠페인_N,45-54,여성,제주,육아,모바일,재방문,1533,39,2,688669,200,125,25.1
2023-01-27,Instagram,캠페인_A,45-54,남성,대전,여행,모바일,재방문,44445,2339,278,190359,258,3283,76.5
2023-01-28,Naver,캠페인_E,25-34,남성,광주,여행,모바일,신규,12798,128,12,556778,204,161,82.0
2023-01-28,KakaoTalk,캠페인_B,45-54,여성,인천,육아,모바일,재방문,9414,235,25,353667,261,786,75.6
2023-01-28,YouTube,캠페인_G,18-24,남성,광주,자동차,모바일,신규,8737,81,7,180098,46,99,61.8
2023-01-28,Naver,캠페인_A,18-24,여성,대전,반려동물,모바일,신규,27235,618,48,632043,203,660,49.1
2023-01-28,Facebook,캠페인_T,45-54,남성,부산,게임,모바일,재방문,8509,172,5,900844,249,198,65.5
2023-01-28,TikTok,캠페인_P,25-34,여성,광주,재테크,PC,재방문,3750,28,0,197843,238,73,37.9
2023-01-29,YouTube,캠페인_C,55+,여성,대전,운동/헬스,모바일,신규,10922,263,30,318247,53,501,39.3
2023-01-29,Facebook,캠페인_C,55+,여성,인천,뷰티,PC,신규,48718,669,73,217988,37,2133,59.4
2023-01-30,YouTube,캠페인_F,45-54,여성,부산,자동차,태블릿,신규,21049,1222,100,406424,134,2107,77.5
2023-01-30,TikTok,캠페인_R,55+,남성,광주,뷰티,모바일,재방문,7773,70,7,417455,273,183,37.9
2023-01-30,Instagram,캠페인_R,55+,여성,대구,패션,모바일,재방문,31458,1816,83,994143,136,2003,54.0
2023-01-30,Naver,캠페인_B,18-24,여성,광주,여행,모바일,재방문,12933,576,20,974633,193,1079,30.5
2023-01-30,KakaoTalk,캠페인_S,35-44,여성,경기,재테크,모바일,재방문,37829,484,6,223704,51,665,69.2
2023-01-31,YouTube,캠페인_O,55+,남성,광주,음식,PC,재방문,37895,1814,129,965647,8,3311,67.5
2023-01-31,YouTube,캠페인_T,25-34,남성,제주,뷰티,모바일,재방문,15131,874,22,534772,176,1631,66.4
2023-01-31,Naver,캠페인_T,45-54,남성,부산,뷰티,모바일,재방문,30754,1145,135,533399,236,5109,74.2
2023-01-31,Instagram,캠페인_G,45-54,여성,인천,음식,모바일,재방문,3958,216,5,709675,30,468,22.7
2023-01-31,KakaoTalk,캠페인_H,45-54,남성,경기,여행,모바일,재방문,5613,169,8,521849,243,606,23.6
2023-01-31,KakaoTalk,캠페인_K,18-24,남성,제주,운동/헬스,PC,재방문,9538,113,4,31568,205,303,55.4
2023-01-31,YouTube,캠페인_G,25-34,여성,대전,여행,모바일,재방문,26228,819,71,446616,81,1602,36.7
2023-01-31,Naver,캠페인_S,18-24,남성,제주,여행,태블릿,신규,3302,49,3,463970,52,109,62.9
2023-01-31,KakaoTalk,캠페인_P,35-44,여성,인천,운동/헬스,PC,신규,13437,603,17,379823,98,697,82.9
2023-01-31,Facebook,캠페인_C,35-44,여성,광주,운동/헬스,모바일,신규,36092,1508,25,242420,56,5075,57.1
2023-02-01,KakaoTalk,캠페인_E,25-34,여성,인천,뷰티,모바일,재방문,10779,191,3,210938,167,398,28.0
2023-02-01,TikTok,캠페인_F,35-44,여성,경기,반려동물,PC,재방문,2752,20,0,578450,252,50,27.1
2023-02-01,Naver,캠페인_Q,25-34,여성,대구,음식,모바일,신규,36781,553,44,914523,193,1765,41.1
2023-02-01,Instagram,캠페인_H,55+,여성,부산,자동차,PC,재방문,11375,236,28,944935,161,920,25.1
2023-02-01,Facebook,캠페인_O,35-44,여성,광주,운동/헬스,PC,신규,21701,1279,123,984850,193,1922,29.4
2023-02-01,KakaoTalk,캠페인_T,18-24,여성,광주,여행,모바일,재방문,41664,1383,111,977317,62,5706,59.1
2023-02-02,Facebook,캠페인_A,35-44,여성,광주,여행,PC,재방문,7327,140,6,49769,215,576,33.7
2023-02-02,KakaoTalk,캠페인_A,25-34,남성,대구,뷰티,모바일,재방문,23046,462,41,434288,120,473,41.3
2023-02-03,TikTok,캠페인_A,25-34,남성,대구,재테크,PC,재방문,16702,168,7,679894,35,173,20.2
2023-02-03,TikTok,캠페인_C,45-54,여성,서울,뷰티,모바일,재방문,20467,376,18,576957,271,798,34.0
2023-02-04,KakaoTalk,캠페인_A,45-54,여성,인천,패션,PC,신규,4845,141,13,322156,266,629,20.5
2023-02-04,KakaoTalk,캠페인_J,25-34,남성,서울,반려동물,모바일,재방문,22972,617,53,43859,214,2537,58.9
2023-02-04,KakaoTalk,캠페인_K,25-34,남성,광주,자동차,모바일,신규,18699,815,57,123787,106,2115,83.7
2023-02-04,Naver,캠페인_K,25-34,남성,인천,자동차,모바일,재방문,45848,1059,34,342014,294,3729,30.3
2023-02-05,Instagram,캠페인_M,35-44,남성,서울,게임,태블릿,신규,31279,1560,44,306936,139,4672,72.8
2023-02-05,KakaoTalk,캠페인_M,55+,여성,대전,패션,PC,신규,20137,1012,117,973578,94,3146,37.0
2023-02-05,Facebook,캠페인_P,55+,남성,부산,육아,모바일,재방문,43645,2456,237,196749,270,5990,39.4
2023-02-06,KakaoTalk,캠페인_K,45-54,남성,인천,음식,PC,재방문,261,1,0,144884,136,2,31.7
2023-02-06,Instagram,캠페인_F,35-44,남성,대전,반려동물,모바일,재방문,26298,251,18,656765,170,637,73.2
2023-02-06,Naver,캠페인_B,35-44,여성,인천,육아,모바일,재방문,22917,479,54,64873,288,1519,35.8
2023-02-07,YouTube,캠페인_F,55+,남성,제주,재테크,모바일,재방문,36870,1505,52,168535,16,5007,53.0
2023-02-07,Facebook,캠페인_N,18-24,남성,대구,뷰티,태블릿,재방문,29882,591,7,63030,221,714,23.0
2023-02-07,KakaoTalk,캠페인_H,35-44,여성,인천,운동/헬스,모바일,신규,32438,1871,145,133734,43,5826,84.6
2023-02-07,Instagram,캠페인_O,45-54,여성,대구,운동/헬스,PC,재방문,49549,1561,107,868847,69,4538,45.5
2023-02-08,Naver,캠페인_O,25-34,여성,경기,패션,태블릿,신규,30267,327,18,854373,214,1258,79.2
2023-02-08,YouTube,캠페인_E,35-44,여성,대구,여행,모바일,재방문,37017,1272,29,412420,178,2745,26.6
2023-02-08,YouTube,캠페인_K,55+,여성,부산,운동/헬스,모바일,신규,47788,2807,30,472880,107,8557,25.3
2023-02-09,Facebook,캠페인_I,55+,남성,서울,음식,모바일,재방문,8700,239,21,356265,206,500,66.3
2023-02-10,Facebook,캠페인_J,35-44,남성,대전,패션,PC,재방문,15564,860,17,892358,105,3071,26.5
2023-02-10,TikTok,캠페인_B,25-34,남성,경기,음식,PC,신규,25254,165,7,633428,147,715,36.9
2023-02-10,KakaoTalk,캠페인_G,18-24,남성,인천,반려동물,모바일,재방문,130,1,0,921817,157,4,41.2
2023-02-11,TikTok,캠페인_A,35-44,여성,부산,게임,모바일,재방문,31324,1624,172,654091,288,2353,27.1
2023-02-11,KakaoTalk,캠페인_N,25-34,여성,대구,뷰티,모바일,재방문,23770,1365,58,49873,293,1546,80.6
2023-02-11,YouTube,캠페인_J,55+,남성,광주,육아,모바일,신규,1372,25,0,743337,179,54,27.9
2023-02-12,Instagram,캠페인_C,25-34,남성,제주,패션,모바일,재방문,48291,1325,17,531395,248,3557,54.7
2023-02-12,Naver,캠페인_I,35-44,여성,부산,자동차,모바일,재방문,39515,1589,94,536515,290,3437,48.1
2023-02-12,Naver,캠페인_Q,25-34,남성,광주,뷰티,모바일,신규,10558,61,2,216231,59,161,50.9
2023-02-12,Facebook,캠페인_C,18-24,남성,광주,음식,PC,재방문,11099,314,13,500283,267,342,24.7
2023-02-13,TikTok,캠페인_P,25-34,여성,서울,육아,모바일,재방문,1886,68,1,31982,247,154,26.3
2023-02-13,Instagram,캠페인_D,55+,여성,서울,육아,모바일,재방문,6831,242,18,57481,293,501,81.7
2023-02-13,TikTok,캠페인_N,18-24,남성,제주,뷰티,모바일,재방문,38422,1188,138,180721,249,2075,33.3
2023-02-13,YouTube,캠페인_Q,18-24,남성,제주,패션,모바일,재방문,11701,258,7,859942,194,306,75.8
2023-02-13,TikTok,캠페인_L,55+,여성,경기,운동/헬스,PC,재방문,7011,207,24,643278,282,482,31.4
2023-02-13,Naver,캠페인_O,45-54,여성,광주,육아,모바일,재방문,39792,2042,141,428915,169,6891,74.2
2023-02-14,KakaoTalk,캠페인_O,35-44,여성,제주,운동/헬스,모바일,재방문,22392,827,34,231166,271,2378,29.7
2023-02-15,KakaoTalk,캠페인_C,55+,남성,대구,게임,모바일,재방문,19069,860,93,805980,163,3400,37.8
2023-02-15,Naver,캠페인_A,45-54,남성,부산,자동차,모바일,재방문,42736,1301,15,449797,68,5056,75.2
2023-02-16,TikTok,캠페인_A,55+,남성,경기,재테크,모바일,재방문,4664,36,3,106245,188,103,24.5
2023-02-16,YouTube,캠페인_F,18-24,남성,서울,패션,모바일,재방문,29224,417,30,834028,297,1719,57.8
2023-02-16,YouTube,캠페인_L,45-54,여성,제주,뷰티,모바일,재방문,49686,2060,34,341057,119,2173,39.8
2023-02-17,Instagram,캠페인_M,55+,여성,인천,여행,모바일,재방문,1060,38,3,496742,237,49,26.4
2023-02-17,Instagram,캠페인_E,45-54,여성,광주,음식,모바일,재방문,16797,509,18,753147,159,2190,30.4
2023-02-17,Naver,캠페인_F,18-24,여성,광주,운동/헬스,모바일,신규,12663,125,1,135326,39,448,73.4
2023-02-18,YouTube,캠페인_F,25-34,여성,경기,자동차,모바일,신규,1500,64,6,80775,62,235,44.5
2023-02-19,YouTube,캠페인_N,45-54,여성,서울,육아,PC,신규,49864,2436,25,483443,159,6008,30.3
2023-02-19,Naver,캠페인_D,25-34,여성,부산,자동차,PC,신규,47101,1740,62,887446,257,7577,71.8
2023-02-19,Facebook,캠페인_H,45-54,남성,인천,자동차,모바일,재방문,31831,191,4,200469,57,724,22.3
2023-02-20,Facebook,캠페인_I,55+,남성,부산,음식,PC,재방문,6084,127,13,540300,205,426,80.4
2023-02-20,YouTube,캠페인_K,45-54,여성,인천,육아,모바일,재방문,47152,2439,137,943273,13,4645,55.8
2023-02-20,Naver,캠페인_B,25-34,여성,서울,음식,모바일,재방문,34884,1742,166,865856,243,1788,36.1
2023-02-20,Naver,캠페인_Q,18-24,여성,경기,음식,모바일,신규,42823,1432,125,295086,20,5850,24.0
2023-02-20,YouTube,캠페인_K,45-54,남성,대구,패션,모바일,재방문,32751,666,78,891196,244,2213,49.6
2023-02-20,Instagram,캠페인_E,45-54,여성,대구,패션,PC,재방문,26941,1088,18,286275,215,4534,28.0
2023-02-21,Naver,캠페인_F,55+,남성,경기,재테크,태블릿,신규,18839,478,51,768105,147,988,41.4
2023-02-21,Naver,캠페인_B,45-54,남성,인천,육아,모바일,재방문,22450,1277,138,962375,186,5195,46.3
2023-02-21,Facebook,캠페인_C,25-34,여성,서울,게임,PC,재방문,13162,522,52,943688,90,2149,20.4
2023-02-21,Facebook,캠페인_C,18-24,남성,경기,뷰티,PC,재방문,27233,748,39,450602,268,1903,26.2
2023-02-21,Instagram,캠페인_A,25-34,여성,광주,게임,PC,신규,3623,100,10,725036,223,110,52.5
2023-02-22,Facebook,캠페인_P,45-54,여성,인천,운동/헬스,모바일,재방문,22468,601,17,515505,142,1368,72.3
2023-02-22,YouTube,캠페인_G,45-54,여성,부산,재테크,PC,재방문,25202,1212,107,474219,299,3743,65.4
2023-02-22,Facebook,캠페인_M,35-44,남성,대구,자동차,PC,신규,49028,2165,178,961232,292,5734,32.0
2023-02-22,KakaoTalk,캠페인_H,35-44,여성,대전,음식,모바일,재방문,23594,808,47,924255,262,2666,28.3
2023-02-22,TikTok,캠페인_D,45-54,여성,제주,여행,모바일,재방문,14853,446,17,235752,136,1599,35.9
2023-02-23,KakaoTalk,캠페인_T,35-44,여성,대구,여행,PC,재방문,44588,1250,109,919939,227,1610,25.8
2023-02-23,Facebook,캠페인_D,45-54,여성,인천,육아,모바일,신규,15511,203,8,390119,40,704,75.5
2023-02-24,KakaoTalk,캠페인_M,35-44,여성,인천,뷰티,모바일,재방문,48972,2657,134,494127,243,3698,37.1
2023-02-24,Facebook,캠페인_A,35-44,남성,대구,재테크,모바일,신규,30906,1546,89,30506,137,3495,77.5
2023-02-24,YouTube,캠페인_D,35-44,여성,대전,재테크,PC,재방문,47956,1694,88,902973,157,2356,35.0
2023-02-24,KakaoTalk,캠페인_C,55+,남성,광주,뷰티,PC,신규,45868,1377,15,32716,47,3192,33.2
2023-02-25,TikTok,캠페인_D,18-24,남성,제주,반려동물,PC,신규,17336,502,49,13567,238,2051,48.2
2023-02-26,Naver,캠페인_H,25-34,남성,제주,운동/헬스,PC,신규,24277,1168,43,872417,136,1728,24.6
2023-02-26,TikTok,캠페인_C,45-54,남성,부산,패션,태블릿,신규,22993,1341,126,411902,168,4751,35.4
2023-02-26,KakaoTalk,캠페인_R,18-24,여성,제주,패션,모바일,재방문,28335,769,24,565573,42,2774,63.5
2023-02-26,Naver,캠페인_F,18-24,남성,부산,게임,모바일,신규,26337,943,99,201994,241,946,59.6
2023-02-26,YouTube,캠페인_Q,25-34,여성,서울,자동차,PC,재방문,42881,771,62,34702,134,1509,43.9
2023-02-26,Naver,캠페인_M,45-54,여성,인천,재테크,모바일,재방문,30256,537,37,134755,127,550,82.2
2023-02-26,Facebook,캠페인_P,25-34,남성,광주,패션,모바일,재방문,17076,760,78,828530,168,1389,83.8
2023-02-26,KakaoTalk,캠페인_K,18-24,남성,제주,육아,모바일,재방문,21880,1130,95,768209,75,4294,67.2
2023-02-27,Facebook,캠페인_N,45-54,남성,서울,여행,모바일,재방문,14070,647,23,304701,127,2102,66.3
2023-02-27,TikTok,캠페인_G,35-44,여성,인천,음식,모바일,재방문,36380,211,12,397842,155,780,72.0
2023-02-27,Facebook,캠페인_Q,35-44,여성,제주,패션,모바일,재방문,33028,1358,71,109910,104,3221,68.1
2023-02-27,TikTok,캠페인_G,35-44,여성,부산,반려동물,PC,재방문,14509,785,60,373287,158,3186,76.3
